Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
32,5;255;899;900;10192608;8,650558655;8,660181079;98077,58994;103,923924
32,5;254;912;928;3656202;8,900794395;9,056948683;35683,22617;102,4627645
32,5;253;893;901;876277;8,716553296;8,794641119;8553,320462;102,4487512
32,5;252;915;915;206846;8,91037078;8,91037078;2014,28913;102,6893294
32,5;251;929;925;57978;9,042318115;9,00338456;564,3224109;102,7391415
32,5;250;892;899;10432;8,727936512;8,796429287;102,0738046;102,2005601
32,5;249;863;872;1998;8,431171563;8,519098034;19,51967646;102,358254
32,5;248;900;906;1051;8,774261681;8,832756759;10,24638781;102,5727329
32,5;247;877;887;952;8,567505586;8,665196642;9,300188504;102,3635166
32,5;246;889;897;917;8,519256306;8,595920029;8,787579339;104,3518317
32,5;245;883;889;897;8,60891527;8,667412996;8,745409963;102,5680904
32,5;244;896;901;905;8,747333817;8,796147064;8,835197661;102,4312115
32,5;243;850;844;854;8,304006334;8,245389819;8,343084011;102,3602302
32,5;242;875;886;898;8,519900148;8,627007464;8,743851809;102,7007341
32,5;241;891;894;908;8,670764888;8,699959383;8,836200357;102,7591004
32,5;240;893;897;914;8,701280334;8,740255833;8,905901708;102,6285748
32,5;239;935;942;949;9,102280637;9,170426053;9,23857147;102,7215087
32,5;238;905;907;907;8,792504041;8,811934989;8,811934989;102,9285851
32,5;237;873;874;884;8,512681315;8,522432382;8,61994305;102,5528817
32,5;236;923;927;933;8,990642668;9,029605366;9,088049414;102,6622939
32,5;235;899;911;923;8,755212937;8,872078961;8,988944985;102,6816831
32,5;234;857;868;870;8,345273168;8,452388693;8,471864243;102,6928637
32,5;233;932;936;943;8,922002633;8,96029449;9,027305239;104,4608524
32,5;232;902;909;922;8,81231117;8,880699394;9,007706096;102,3568032
32,5;231;850;855;858;8,257285224;8,30585749;8,335000849;102,9394016
32,5;230;901;905;914;8,803083287;8,842164678;8,930097807;102,3505027
32,5;229;847;858;864;8,281329178;8,388878908;8,447542397;102,2782674
32,5;228;874;879;890;8,54194954;8,590816528;8,698323902;102,3185627
32,5;227;877;881;889;8,569726642;8,608813194;8,686986299;102,3369865
32,5;226;916;921;933;8,933537334;8,982301184;9,099334424;102,534972
32,5;225;930;934;942;9,075330659;9,11436434;9,1924317;102,475605
32,5;224;893;891;900;8,71782745;8,698302641;8,786164283;102,4337778
32,5;223;902;911;918;8,813492193;8,901431694;8,969829083;102,3430872
32,5;222;892;903;911;8,70428445;8,81162428;8,889689612;102,4782686
32,5;221;862;867;871;8,414432322;8,463239934;8,502286024;102,4430368
32,5;220;817;820;834;7,822324357;7,851047702;7,98508998;104,444659
32,5;219;805;814;821;7,867973592;7,955938515;8,024355676;102,3135107
32,5;218;885;895;896;8,637416442;8,735014368;8,744774161;102,4611938
32,5;217;920;927;935;8,976558012;9,04485791;9,122914936;102,4891722
32,5;216;797;811;822;7,640477415;7,774689063;7,880141073;104,3128533
32,5;215;938;944;952;8,989744982;9,047248682;9,123920281;104,3411133
32,5;214;882;893;901;8,465513253;8,571092216;8,647876917;104,1874218
32,5;213;909;926;932;8,705997842;8,868816283;8,926281615;104,4107771
32,5;212;923;934;943;9,023923142;9,131467188;9,219457772;102,2836726
32,5;211;897;912;923;8,61073791;8,754730183;8,860324516;104,1722567
32,5;210;877;884;900;8,402300588;8,469365701;8,622657388;104,3761754
32,5;209;859;865;884;8,388267782;8,446858709;8,632396646;102,404933
32,5;208;887;897;903;8,513241939;8,609219864;8,666806619;104,1906252
32,5;207;835;853;867;8,015441894;8,188229863;8,322620505;104,1739197
32,5;206;853;870;881;8,185881506;8,349023342;8,454585706;104,203805
32,5;205;853;866;874;8,194466994;8,31935336;8,396206509;104,0946288
32,5;204;873;898;908;8,375341842;8,615185538;8,711123016;104,2345514
32,5;203;861;878;900;8,278766803;8,442226775;8,653763209;104,0009968
32,5;202;852;881;896;8,182242041;8,460745585;8,604799142;104,127939
32,5;201;809;830;848;7,782874319;7,984901959;8,158068507;103,946173
32,5;200;823;846;855;7,916129583;8,137357992;8,22392563;103,9649479
32,5;199;824;851;876;7,910554473;8,169759534;8,409764221;104,1646326
32,5;198;821;844;863;7,87120922;8,091718126;8,273877657;104,304177
32,5;197;810;850;865;7,779502978;8,163675965;8,307740835;104,1197622
32,5;196;872;912;930;8,357889994;8,741279443;8,913804695;104,3325529
32,5;195;884;927;937;8,493629597;8,906781263;9,002863046;104,0780022
32,5;194;818;862;885;7,848869403;8,271057978;8,49174746;104,2188318
32,5;193;790;832;855;7,722037122;8,132575805;8,357394607;102,3046105
32,5;192;762;828;852;7,396826565;8,037496582;8,270467497;103,0171511
32,5;191;850;874;898;8,294344666;8,528537927;8,762731188;102,4794645
32,5;190;812;849;879;7,926301746;8,287475594;8,580319254;102,4437406
32,5;189;836;861;896;8,173341084;8,417759179;8,759944512;102,2837529
32,5;188;789;826;876;7,562387457;7,917024132;8,396262881;104,3321311
32,5;187;777;811;857;7,565647498;7,896705432;8,344607343;102,7010577
32,5;186;767;821;856;7,503628526;8,03191528;8,374323361;102,2172136
32,5;185;780;816;869;7,505067501;7,851455232;8,361414947;103,9297781
32,5;184;751;802;847;7,214911287;7,704871974;8,137190227;104,0899839
32,5;183;766;836;879;7,467974908;8,150426924;8,569647447;102,5713141
32,5;182;713;791;852;6,966648177;7,728777991;8,32480259;102,3447692
32,5;181;654;725;797;6,380585848;7,073279418;7,775729236;102,498425
32,5;180;665;725;817;6,465714367;7,049087092;7,943591937;102,8501976
32,5;179;645;734;830;6,19275692;7,047261364;7,968974022;104,1539347
32,5;178;650;751;854;6,224779537;7,192014512;8,178402654;104,4213688
32,5;177;618;725;807;5,92925212;6,955837843;7,742567089;104,2289968
32,5;176;609;697;819;5,958163704;6,819113468;8,012702912;102,2127001
32,5;175;561;683;829;5,461934333;6,649734669;8,071200645;102,710865
32,5;174;564;683;832;5,410204396;6,551719154;7,981010741;104,2474477
32,5;173;530;642;822;5,081347951;6,155142235;7,880883049;104,3030324
32,5;172;493;614;787;4,731214907;5,892425867;7,552669638;104,2015655
32,5;171;476;597;779;4,565036628;5,725476611;7,470931793;104,2707953
32,5;170;406;527;713;3,966447265;5,148565785;6,965706651;102,3586028
32,5;169;413;544;784;4,037167857;5,317722311;7,663776271;102,2994373
32,5;168;342;443;702;3,339255038;4,325409304;6,854260342;102,4180532
32,5;167;338;462;712;3,296026652;4,505219862;6,943109397;102,5477145
32,5;166;296;446;707;2,842385698;4,282783856;6,789076651;104,1378727
32,5;165;303;427;709;2,903989154;4,092420358;6,795142937;104,3392327
32,5;164;296;424;677;2,842879411;4,072232669;6,50212622;104,1197875
32,5;163;233;349;607;2,237534491;3,351500161;5,829113461;104,132473
32,5;162;186;305;588;1,78636327;2,929251598;5,647212918;104,1221588
32,5;161;214;307;588;2,055910498;2,949366929;5,64895034;104,0901344
32,5;160;167;260;563;1,605704157;2,499898688;5,413242158;104,0042148
32,5;159;107;239;543;1,02969083;2,29996363;5,225440381;103,9146867
32,5;158;96;204;511;0,922954114;1,961277493;4,912807838;104,0138383
32,5;157;102;190;462;0,978565198;1,822817526;4,432324721;104,2342403
32,5;156;58;148;410;0,558350121;1,424755482;3,946957755;103,8774736
32,5;155;53;133;379;0,509337451;1,278148699;3,642243285;104,0567503
32,5;154;38;108;325;0,364690222;1,036487999;3,11906111;104,1980226
32,5;153;38;99;298;0,365655792;0,952629563;2,867511211;103,9228718
32,5;152;40;94;278;0,3910113;0,918876555;2,717528534;102,2988338
