Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
35,5;255;736;751;9501571;7,198624895;7,345336;92932,39883;102,241749
35,5;254;747;759;3557971;7,294879712;7,412066535;34745,60972;102,4005919
35,5;253;734;752;862283;7,18546499;7,361675303;8441,286523;102,1506612
35,5;252;675;695;203942;6,604528775;6,800218517;1995,467863;102,2025981
35,5;251;707;723;59865;6,893216697;7,049215943;583,6809301;102,5645981
35,5;250;683;709;11613;6,677302887;6,931490112;113,5337019;102,2868083
35,5;249;669;692;2083;6,54696473;6,772047225;20,38464504;102,184757
35,5;248;742;778;1042;7,252692663;7,604575326;10,18504819;102,3068306
35,5;247;700;730;844;6,842584936;7,135838576;8,250202409;102,3005204
35,5;246;665;702;747;6,498085615;6,859633236;7,299353315;102,3378329
35,5;245;718;746;764;7,006202854;7,27942525;7,455068218;102,4806182
35,5;244;645;686;712;6,313032889;6,714326453;6,968805298;102,1695929
35,5;243;731;777;805;7,01027574;7,451414843;7,719934297;104,2754989
35,5;242;654;699;722;6,385100127;6,824441879;7,04899433;102,4259584
35,5;241;666;708;732;6,506787114;6,91712504;7,151603855;102,3546627
35,5;240;699;746;770;6,839000929;7,298847916;7,533663398;102,2079113
35,5;239;688;740;776;6,704349472;7,21107356;7,561882544;102,6199489
35,5;238;646;714;743;6,321983896;6,987455885;7,271260116;102,1831138
35,5;237;675;737;761;6,593357718;7,198969834;7,433400331;102,3757589
35,5;236;621;673;710;6,074834334;6,583516114;6,945462765;102,2250099
35,5;235;610;694;731;5,95263707;6,77234447;7,133406063;102,4755907
35,5;234;673;761;805;6,576205125;7,436095245;7,866040305;102,3386569
35,5;233;597;674;719;5,833499211;6,585893582;7,025604577;102,339947
35,5;232;583;666;711;5,686317867;6,495862263;6,934771876;102,5268044
35,5;231;512;625;670;5,005313768;6,110002158;6,549922313;102,2912896
35,5;230;530;653;717;5,181346597;6,383810052;7,009482094;102,2900109
35,5;229;513;645;697;4,99968757;6,286156887;6,792947829;102,6064115
35,5;228;491;636;711;4,798292342;6,215303319;6,948240031;102,3280711
35,5;227;519;668;753;4,970906421;6,398006723;7,212124345;104,4075177
35,5;226;447;613;688;4,368376575;5,990637227;6,723586316;102,3263431
35,5;225;501;661;753;4,901913043;6,467394255;7,367545951;102,2049954
35,5;224;425;577;689;4,160146845;5,648011129;6,74433218;102,1598554
35,5;223;380;618;730;3,711832068;6,0366111;7,130624762;102,3753211
35,5;222;343;556;685;3,287222841;5,328559475;6,564861943;104,3433976
35,5;221;347;570;714;3,397329163;5,580627155;6,990469805;102,1390579
35,5;220;317;559;733;3,043767346;5,367400462;7,038111876;104,1472504
35,5;219;305;565;728;2,973624136;5,508516842;7,097699577;102,5684438
35,5;218;258;512;699;2,472761066;4,907184751;6,699457306;104,3368094
35,5;217;247;508;696;2,368203895;4,87063797;6,673157533;104,2984519
35,5;216;210;441;674;2,050311907;4,305655004;6,580524882;102,4234407
35,5;215;197;447;688;1,892860431;4,294967576;6,610598865;104,0752909
35,5;214;159;378;656;1,554548797;3,695719782;6,413735919;102,2804818
35,5;213;165;419;696;1,605178349;4,076180171;6,770934126;102,792316
35,5;212;130;359;616;1,272266949;3,513414112;6,028588003;102,1798139
35,5;211;124;351;641;1,212631633;3,432529864;6,2685232;102,2569399
35,5;210;119;370;650;1,158862597;3,603186225;6,329921746;102,6868935
35,5;209;96;284;592;0,937707028;2,774049957;5,78252667;102,3773921
35,5;208;97;276;575;0,931226086;2,649674223;5,520154631;104,1637487
35,5;207;80;256;597;0,781792784;2,501736909;5,834128652;102,3289056
35,5;206;63;215;568;0,614664504;2,097664577;5,541737114;102,4949377
35,5;205;47;192;526;0,450775637;1,841466433;5,04485075;104,2647297
35,5;204;39;165;486;0,373375048;1,579663666;4,652827525;104,4526145
35,5;203;33;162;517;0,322385231;1,582618406;5,050701951;102,3620093
35,5;202;29;111;435;0,278524297;1,066075756;4,177864449;104,1201804
35,5;201;39;122;448;0,379246388;1,186360496;4,356471331;102,8355212
35,5;200;18;87;406;0,175756962;0,849491985;3,964295931;102,4141505
35,5;199;11;72;372;0,107579992;0,704159947;3,638159726;102,2494965
35,5;198;13;77;336;0,126931938;0,751827636;3,28070241;102,4170918
35,5;197;14;63;313;0,136702394;0,615160775;3,056274962;102,4122515
35,5;196;6;45;288;0,058674873;0,440061545;2,81639389;102,2584238
35,5;195;8;45;256;0,07685379;0,43230257;2,459321288;104,09376
35,5;194;4;36;242;0,038335183;0,34501665;2,319278593;104,3427904
35,5;193;2;28;206;0,019566347;0,273928859;2,015333745;102,2163205
35,5;192;1;23;207;0,009579483;0,220328104;1,98295294;104,3897693
35,5;191;8;25;164;0,076747977;0,239837428;1,57333353;104,2372751
35,5;190;6;25;172;0,058575414;0,244064224;1,679161864;102,4320548
35,5;189;4;11;133;0,038480433;0,105821191;1,279474399;103,9489341
35,5;188;4;11;124;0,039103843;0,107535568;1,212219128;102,2917368
35,5;187;3;11;121;0,029317334;0,107496892;1,182465812;102,3285398
35,5;186;2;8;88;0,019175049;0,076700196;0,843702153;104,302211
35,5;185;2;12;69;0,019524899;0,117149395;0,673609019;102,4333079
35,5;184;0;2;52;0;0,019559241;0,508540273;102,2534552
35,5;183;1;3;43;0,009776074;0,029328223;0,420371192;102,290549
35,5;182;0;0;43;0;0;0,412389844;104,2702692
35,5;181;0;1;24;0;0,009770407;0,234489757;102,3498867
