Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
30,5;255;962;971;12007327;9,225540225;9,311849853;115149,7695;104,2757363
30,5;254;1055;1064;4367343;10,29526457;10,38309147;42618,91153;102,474297
30,5;253;1029;1039;1146361;10,02220406;10,11960157;11165,27101;102,6720264
30,5;252;990;997;280770;9,65178757;9,720032533;2737,305451;102,5716732
30,5;251;996;1005;86025;9,727049549;9,814944575;840,1299573;102,3948727
30,5;250;1035;1039;17306;10,10275264;10,1417971;168,9258331;102,4473267
30,5;249;952;963;3238;9,251103243;9,357996242;31,46541208;102,9066453
30,5;248;993;1000;1379;9,672984461;9,74117267;13,43307711;102,6570449
30,5;247;1020;1025;1239;9,773863634;9,82177473;11,87236965;104,3599582
30,5;246;1069;1069;1106;10,26303113;10,26303113;10,61825297;104,1602609
30,5;245;929;934;956;9,059764691;9,108525535;9,323073245;102,5412946
30,5;244;990;995;1002;9,669728465;9,718565477;9,786937295;102,3813651
30,5;243;1008;1016;1034;9,831786527;9,909816579;10,0853842;102,5246019
30,5;242;1010;1021;1030;9,864051515;9,971481779;10,05937927;102,3920038
30,5;241;979;980;990;9,547400185;9,557152381;9,654674344;102,5410039
30,5;240;1022;1027;1036;9,992612288;10,04149982;10,12949739;102,2755582
30,5;239;1052;1057;1063;10,26956943;10,31837917;10,37695086;102,4385693
30,5;238;1032;1038;1046;10,0714844;10,13003954;10,20811306;102,4675171
30,5;237;997;1005;1006;9,748206765;9,82642708;9,83620462;102,2752209
30,5;236;1018;1018;1023;9,934983751;9,934983751;9,983780331;102,4661968
30,5;235;988;984;988;9,646086433;9,607033452;9,646086433;102,4249582
30,5;234;1002;1008;1017;9,794498827;9,853148521;9,941123061;102,3023248
30,5;233;1043;1044;1048;10,19360911;10,20338247;10,24247588;102,3190107
30,5;232;1028;1028;1033;9,9982404;9,9982404;10,04686997;102,8180919
30,5;231;1004;1013;1021;9,621024015;9,707268254;9,7839298;104,3547962
30,5;230;971;975;979;9,487563878;9,52664756;9,565731242;102,344502
30,5;229;1027;1034;1041;10,01814722;10,0864306;10,15471398;102,5139656
30,5;228;1015;1019;1027;9,726095279;9,764424719;9,841083598;104,3584266
30,5;227;1023;1030;1036;9,812893221;9,880039118;9,937592744;104,2505994
30,5;226;983;981;983;9,606743283;9,587197518;9,606743283;102,3239584
30,5;225;1057;1062;1069;10,14264126;10,19061969;10,2577895;104,2134857
30,5;224;1018;1024;1031;9,893630606;9,951942771;10,01997363;102,8944824
30,5;223;980;978;981;9,582826307;9,563269519;9,592604701;102,2662802
30,5;222;995;994;998;9,705580993;9,69582664;9,734844051;102,5183346
30,5;221;1032;1038;1048;9,880903508;9,938350621;10,03409581;104,4438901
30,5;220;988;989;993;9,622611929;9,632351415;9,671309358;102,6748254
30,5;219;1025;1030;1036;10,01042873;10,05926009;10,11785772;102,3932168
30,5;218;1011;1017;1028;9,874510374;9,933112809;10,04055061;102,3848233
30,5;217;978;987;996;9,549729006;9,637609948;9,72549089;102,411283
30,5;216;970;971;979;9,459974625;9,469727176;9,547747585;102,5372729
30,5;215;1006;1008;1008;9,806021617;9,82551669;9,82551669;102,5900247
30,5;214;994;999;1005;9,699048062;9,74783603;9,806381592;102,4842844
30,5;213;1024;1032;1041;9,954932405;10,03270531;10,12019984;102,8635814
30,5;212;1010;1019;1026;9,87854828;9,966574948;10,03504013;102,2417436
30,5;211;1011;1019;1019;9,884770224;9,96298799;9,96298799;102,2785535
30,5;210;1043;1052;1061;9,998202748;10,08447679;10,17075083;104,3187487
30,5;209;986;993;1001;9,646543356;9,715027944;9,793296044;102,2127786
30,5;208;1004;1001;1007;9,627453685;9,598686393;9,656220977;104,2851031
30,5;207;1013;1024;1030;9,87325923;9,980471324;10,03895065;102,6003649
30,5;206;969;980;984;9,445087601;9,552307378;9,591296387;102,5930135
30,5;205;959;966;971;9,367106842;9,435479885;9,484317773;102,3795304
30,5;204;994;1003;1010;9,718737532;9,80673415;9,875175964;102,2766585
30,5;203;1055;1061;1068;10,10769972;10,16518427;10,23224957;104,3758748
30,5;202;1066;1072;1071;10,25436;10,31207685;10,30245737;103,9557807
30,5;201;1025;1031;1037;9,821519452;9,879011274;9,936503095;104,3626707
30,5;200;984;989;991;9,584378763;9,633079875;9,652560319;102,6670611
30,5;199;1004;1011;1022;9,627397097;9,694520383;9,799999834;104,2857161
30,5;198;1002;1003;1004;9,627307102;9,636915193;9,646523283;104,0789485
30,5;197;1002;1004;1008;9,787726114;9,807262493;9,846335252;102,3731139
30,5;196;1030;1033;1041;10,00908744;10,03824012;10,11598061;102,9064844
30,5;195;996;998;1002;9,720234717;9,739753261;9,778790348;102,4666615
30,5;194;953;953;960;9,263118338;9,263118338;9,331158032;102,8811212
30,5;193;979;982;984;9,546807072;9,576061844;9,595565025;102,5473745
30,5;192;973;983;983;9,51348155;9,611256283;9,611256283;102,2759118
30,5;191;971;974;971;9,474907579;9,504181237;9,474907579;102,4812107
30,5;190;983;990;997;9,576441181;9,644635574;9,712829967;102,6477354
30,5;189;973;976;980;9,513413844;9,542746055;9,58185567;102,2766397
30,5;188;969;966;970;9,464551828;9,43524981;9,474319168;102,3820269
30,5;187;992;990;994;9,672691;9,653189606;9,692192393;102,5567756
30,5;186;1031;1036;1042;10,06554535;10,11435983;10,1729372;102,428628
30,5;185;1028;1024;1032;10,01062109;9,971669253;10,04957292;102,6909311
30,5;184;994;992;996;9,53328839;9,514106723;9,552470056;104,2662258
30,5;183;966;968;980;9,398540354;9,41799903;9,534751084;102,7819176
30,5;182;921;927;925;8,99612202;9,054728678;9,035193125;102,3774464
30,5;181;975;976;976;9,513155762;9,522912845;9,522912845;102,4896495
30,5;180;1020;1023;1026;9,922202649;9,951385598;9,980568547;102,7997549
30,5;179;1033;1035;1052;9,907976041;9,927158957;10,09021374;104,2594366
30,5;178;1043;1052;1050;10,19858976;10,28659293;10,26703667;102,2690415
30,5;177;952;956;963;9,271208852;9,310163511;9,378334164;102,6834812
30,5;176;991;999;999;9,662545853;9,740548241;9,740548241;102,5609622
