Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
37.5;255;1744862;8056885;750;17147.476776733398;79178.32380458263;7.370558578586758;101.75619554519653
37.5;254;5763017;1604069;721;56629.43501557248;15762.147013620528;7.084799966098965;101.7671639919281
37.5;253;1802583;317700;677;17714.890611429622;3122.197839018337;6.653219820633976;101.75524306297302
37.5;252;469513;54081;688;4595.476095331847;529.3313341944561;6.733972336417333;102.16852188110352
37.5;251;57619;5259;712;566.0999378901107;51.669060090666136;6.99531674929726;101.782381772995
37.5;250;12807;1685;683;125.88524317409667;16.562554442754188;6.713486459585229;101.7355146408081
37.5;249;3888;1127;703;38.23715188676697;11.083660024790735;6.91376486018446;101.68121337890625
37.5;248;1464;904;664;14.395579979160095;8.889073976202681;6.529142832078076;101.69788241386414
37.5;247;939;834;681;9.241910983707191;8.20847045837252;6.702599978599145;101.60236358642578
37.5;246;892;838;719;8.764093706335167;8.233531979718464;7.064331137729804;101.77892088890076
37.5;245;793;762;683;7.803379712779923;7.49832956007352;6.720943687047525;101.622633934021
37.5;244;743;712;663;7.302699015304167;6.998010361906551;6.516405716213544;101.74320459365845
37.5;243;702;685;647;6.896897784636632;6.729878892416087;6.356542545099574;101.78489255905151
37.5;242;706;707;661;6.937386365566494;6.947212691863331;6.495201682208856;101.76743268966675
37.5;241;687;687;643;6.755022359190899;6.755022359190899;6.322386283784204;101.70210599899292
37.5;240;663;663;634;6.516032123307028;6.516032123307028;6.231017143554533;101.74903798103333
37.5;239;712;709;674;6.998130615596654;6.968644110193859;6.624634880494585;101.7414562702179
37.5;238;709;709;661;6.967263701350603;6.967263701350603;6.49557306994746;101.76161408424377
37.5;237;721;718;658;7.08740414560759;7.057914253184813;6.468116404729257;101.72977089881897
37.5;236;716;716;655;7.034416951318288;7.034416951318288;6.435116065800948;101.78526592254639
37.5;235;715;714;656;7.023136288832157;7.013313720596028;6.443604762900553;101.80636835098267
37.5;234;669;664;608;6.571777251001022;6.522660829095185;5.972556903749807;101.79894638061523
37.5;233;713;708;630;7.0180241951726545;6.968809439245778;6.201059246786497;101.59554600715637
37.5;232;698;692;599;6.859065693091299;6.80010524300742;5.8862182667072895;101.76313090324402
37.5;231;718;713;611;7.055728838078182;7.006594236141705;6.004248356637562;101.76128029823303
37.5;230;706;703;615;6.936914384983518;6.907437411676222;6.042779527995557;101.77435684204102
37.5;229;715;708;601;7.032554094489922;6.963703914543867;5.911279735368452;101.67003202438354
37.5;228;694;686;584;6.824538031855814;6.7458690055520005;5.74283892017838;101.69186496734619
37.5;227;675;670;539;6.637848744028902;6.588679494073132;5.300445145231967;101.68957233428955
37.5;226;709;701;558;6.97009353363979;6.891446497999285;5.485630735925251;101.720299243927
37.5;225;704;697;545;6.916390372005385;6.847619445011014;5.354307887418941;101.78719854354858
37.5;224;687;683;522;6.752604086336568;6.713287614218159;5.130799611452239;101.73852801322937
