Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
38.0;255;2374835;8140313;637;23366.429985313636;80094.00811973817;6.267557914821361;101.63448166847229
38.0;254;5751620;1445495;641;56512.06577194448;14202.591359133059;6.298092391329123;101.77684926986694
38.0;253;1637668;253433;605;16100.429438325407;2491.579571587845;5.9479453773212105;101.71579623222351
38.0;252;371949;37328;681;3657.0956378571836;367.01823629027894;6.695762401245176;101.70611786842346
38.0;251;50590;3927;627;497.06084963371785;38.58386947048053;6.160449747387648;101.77828335762024
38.0;250;10431;1609;650;102.64113307021077;15.832574356242846;6.396005799600901;101.6259241104126
38.0;249;3459;1148;611;33.99388131120351;11.282155462637071;6.004701208772866;101.75360584259033
38.0;248;1617;1015;608;15.897220176376345;9.978774569586884;5.9774334367574635;101.71589636802673
38.0;247;1049;894;571;10.312529050700837;8.788752117565823;5.613397605290922;101.7209255695343
38.0;246;913;800;538;8.975077972258761;7.864252330566274;5.28870969230582;101.72613573074341
38.0;245;936;841;588;9.200604068239786;8.266782074134252;5.779866658253199;101.73245072364807
38.0;244;731;674;511;7.182871246326146;6.622784158719319;5.02113160994892;101.76988768577576
38.0;243;721;687;503;7.087361739594457;6.753144958531751;4.944442378662985;101.73037958145142
38.0;242;640;635;474;6.294240695017865;6.245066939588037;4.661672014747606;101.68025517463684
38.0;241;685;675;476;6.736822059500171;6.638474292208198;4.68135372309793;101.67999005317688
38.0;240;680;675;458;6.682785757615282;6.6336476270445806;4.501052760276175;101.75397276878357
38.0;239;658;650;447;6.46600750885699;6.387393435800978;4.392561332004672;101.76295018196106
38.0;238;668;658;449;6.568950142366149;6.47061256538462;4.41535720647066;101.6905267238617
38.0;237;679;673;423;6.6745423354225215;6.6155625798812325;4.158072765660864;101.72982144355774
38.0;236;716;704;417;7.0412842091816685;6.923273859307115;4.10085965814072;101.6859962940216
38.0;235;655;647;354;6.441662937320128;6.3629861380856845;3.481448366124161;101.68181824684143
38.0;234;626;608;340;6.155509637456074;5.978514152672992;3.34324804590266;101.69750952720642
38.0;233;638;623;335;6.268684512233097;6.1213016475254225;3.2915506451380683;101.77573919296265
38.0;232;612;599;278;6.015270318357183;5.887494968457439;2.7324267132406814;101.74106359481812
38.0;231;630;614;284;6.197573155014626;6.0401744717126675;2.793826628609768;101.6526927947998
38.0;230;730;716;310;7.172284264968438;7.034733607832057;3.045764550877008;101.78068423271179
38.0;229;597;575;225;5.8650245781236485;5.648893019130817;2.2104363987903195;101.78985476493835
38.0;228;606;584;228;5.953520738015694;5.737386321784101;2.239938495491053;101.7885091304779
38.0;227;600;568;189;5.899675082136366;5.585025744422427;1.8583976508729554;101.70051598548889
38.0;226;614;569;191;6.035876756940943;5.5935079392498315;1.8776098706444952;101.72507238388062
38.0;225;568;528;143;5.583151992840673;5.189972275034992;1.4056174911553103;101.73464751243591
38.0;224;551;510;130;5.417940211716216;5.014790395599401;1.2782799047606317;101.69916582107544
38.0;223;508;498;112;4.991878907349674;4.89361357452783;1.1005717276046525;101.76528906822205
38.0;222;487;472;90;4.789828614187083;4.642297958719309;0.8851839328066479;101.67378401756287
38.0;221;469;458;102;4.611813599302473;4.50364739548088;1.002995708163864;101.69535040855408
38.0;220;491;476;95;4.829347871893921;4.681811786194514;0.9343952094295773;101.67004179954529
38.0;219;442;417;66;4.344998231351637;4.099240412836273;0.6488006408805612;101.72616338729858
38.0;218;360;335;46;3.5404767276953684;3.2946102882720787;0.45239424853885263;101.6812219619751
38.0;217;391;361;46;3.8447619691571515;3.5497674446693903;0.45232493754790015;101.69680285453796
38.0;216;364;338;45;3.5805934081134025;3.324836736105302;0.442655778475558;101.65912699699402
38.0;215;338;323;44;3.32398456166551;3.176470453899289;0.4327080494475812;101.68518948554993
38.0;214;285;269;36;2.8008528095695273;2.6436119500849222;0.35379193384036134;101.75472235679626
38.0;213;276;262;33;2.7111119683705733;2.573591796061921;0.32415469187039464;101.80324649810791
38.0;212;238;216;24;2.3410436157337933;2.1246446260441147;0.23607162511601276;101.66406059265137
38.0;211;196;183;19;1.926517034507222;1.7987378434429675;0.18675420232467968;101.7380051612854
38.0;210;180;162;9;1.7706684074428765;1.5936015666985888;0.08853342037214383;101.65652656555176
38.0;209;143;131;12;1.4053211790803761;1.2873921290876174;0.11792904999275884;101.75609827041626
38.0;208;126;112;6;1.2387237446084267;1.1010877729852682;0.058986844981353655;101.71759486198425
38.0;207;129;108;8;1.267651672611787;1.0612897724191706;0.07861405721623485;101.76297068595886
38.0;206;99;81;4;0.9736591376631879;0.7966302035426083;0.03933976313790658;101.67829394340515
38.0;205;83;66;5;0.8158355117046646;0.6487366719579261;0.04914671757257016;101.73619413375854
38.0;204;66;52;3;0.6489241792315585;0.5112735957581976;0.029496553601434477;101.7067973613739
38.0;203;52;36;2;0.5108625075138049;0.3536740436634034;0.019648557981300187;101.78864026069641
38.0;202;39;29;2;0.38330440684347694;0.2850212256015598;0.019656636248383434;101.74680829048157
38.0;201;29;20;2;0.28518568430832253;0.19667978228160174;0.019667978228160174;101.68813371658325
38.0;200;28;20;1;0.27521587174261386;0.19658276553043846;0.009829138276521923;101.73831844329834
38.0;199;28;25;2;0.2752171513381115;0.2457295994090281;0.019658367952722248;101.7378454208374
38.0;198;16;12;0;0.1572428140117992;0.1179321105088494;0.0;101.75345754623413
38.0;197;13;10;0;0.12784563530288579;0.09834279638683523;0.0;101.68512964248657
38.0;196;9;6;0;0.0884904366190967;0.058993624412731135;0.0;101.70590567588806
38.0;195;7;2;0;0.0687910607887014;0.019654588796771826;0.0;101.7574074268341
38.0;194;2;2;0;0.019672746290554273;0.019672746290554273;0.0;101.66348767280579
38.0;193;2;2;0;0.019669766309302048;0.019669766309302048;0.0;101.67888975143433
38.0;192;0;0;0;0.0;0.0;0.0;101.81174731254578
38.0;191;1;1;0;0.009828723818654395;0.009828723818654395;0.0;101.7426085472107
38.0;190;0;1;0;0.0;0.00983134230343684;0.0;101.71551036834717
38.0;189;0;0;0;0.0;0.0;0.0;101.73596167564392
