Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
37.0;255;16776000;6043504;754;164896.32098144808;59403.408168613816;7.411291489032656;101.73665428161621
37.0;254;5357613;1158717;735;52647.46453138091;11386.323006049166;7.222598278480541;101.7639319896698
37.0;253;1613675;215330;718;15872.952848421095;2118.0987106142898;7.062624224311802;101.66192865371704
37.0;252;384880;32453;734;3786.2554224063624;319.25625447763895;7.220721991390225;101.65188479423523
37.0;251;48321;3465;680;474.8004835383443;34.04697078827762;6.681656604914512;101.77116847038269
37.0;250;9601;1316;687;94.38410720593033;12.937140410686837;6.75365916576129;101.72263407707214
37.0;249;2850;1030;724;28.013660528346087;10.12423520848999;7.116452709657041;101.73607969284058
37.0;248;1343;853;713;13.202727150144506;8.385648740933181;7.009340624015661;101.72140836715698
37.0;247;919;834;707;9.039266903756827;8.203208485019799;6.954038847612707;101.66753673553467
37.0;246;950;882;802;9.342710956730828;8.673969540880622;7.887214933998026;101.68354821205139
37.0;245;790;745;702;7.767725227250903;7.3252598662049655;6.902459632316625;101.70287656784058
37.0;244;766;740;688;7.5379283601002935;7.2820717839089;6.770358631526112;101.61943221092224
37.0;243;798;784;741;7.85185895593538;7.714107044427742;7.291011887654282;101.63198351860046
37.0;242;762;759;728;7.4874866788888;7.458008384877427;7.153399346759904;101.7697970867157
37.0;241;764;763;725;7.517616781892553;7.507776969350809;7.13386409276453;101.62795233726501
37.0;240;711;708;688;6.988183431488543;6.9586974254485074;6.762124051848267;101.74317932128906
37.0;239;744;741;698;7.3156049394543015;7.286106532440373;6.863296031907396;101.70040702819824
37.0;238;742;736;704;7.29757041529979;7.23856041194157;6.9238403940310675;101.67767596244812
37.0;237;720;718;670;7.078118171555292;7.0584567321898595;6.586582187419507;101.72195243835449
37.0;236;728;725;692;7.1553489854144665;7.125862657177869;6.80151304657529;101.74206757545471
37.0;235;763;761;714;7.49576165764815;7.4761135274839345;7.014382468624874;101.79085659980774
37.0;234;765;766;704;7.529596741234882;7.539439351354144;6.929197523959944;101.59906649589539
37.0;233;713;707;644;7.011495738138468;6.952492968953572;6.332963892512164;101.69014239311218
37.0;232;711;706;655;6.9890136783485515;6.939864496362978;6.438542840110128;101.73109292984009
37.0;231;712;712;652;7.003181687826933;7.003181687826933;6.413025927616799;101.6680748462677
37.0;230;756;758;681;7.4256007729965;7.4452452194859084;6.688934029643672;101.80994415283203
37.0;229;715;713;636;7.037518074821081;7.017832709576827;6.259946147673018;101.59831809997559
37.0;228;769;759;687;7.564212423423929;7.465848152638182;6.757625402980805;101.66293025016785
37.0;227;747;746;645;7.341285025662824;7.3314573348654175;6.338860564327338;101.75330305099487
37.0;226;720;715;611;7.076836404225446;7.02769170697388;6.0054820041413155;101.74037647247314
37.0;225;673;671;577;6.612617720623888;6.592966553549226;5.669361701040094;101.77512574195862
37.0;224;713;704;586;7.012210178387213;6.923697006430012;5.763190974102254;101.67978167533875
37.0;223;716;708;582;7.042495215512506;6.963808118132478;5.724486334397037;101.6685106754303
37.0;222;734;733;615;7.212472658119753;7.202646401092342;6.043148071857831;101.76815009117126
37.0;221;650;650;516;6.388432079545903;6.388432079545903;5.0714322354549015;101.74640536308289
37.0;220;672;676;531;6.604853094868782;6.644167696623953;5.219013382998993;101.74336814880371
37.0;219;710;709;525;6.982081228627434;6.972247311404015;5.162806542294933;101.68887710571289
37.0;218;713;705;520;7.010797944756533;6.932135415222098;5.113064419738285;101.7002637386322
37.0;217;690;685;499;6.780020202520694;6.730889621343008;4.903232001533081;101.76960825920105
37.0;216;714;712;481;7.0222280245508095;7.002557918039463;4.730660615978906;101.67713117599487
37.0;215;663;657;432;6.5221419931697415;6.463118083729292;4.249721479712411;101.65372061729431
37.0;214;695;690;440;6.8306198098188355;6.781478660107909;4.324421174561565;101.74772119522095
37.0;213;659;656;400;6.476430435274038;6.446947443914672;3.931065514582117;101.75358271598816
37.0;212;611;609;370;6.00529904329858;5.9856417632877825;3.6365968019975035;101.74347615242004
37.0;211;623;617;338;6.120188029464315;6.061245608634803;3.3204230400625017;101.79425811767578
