esp_abeast_id,serial_port,chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,COM6,1,0,238,48.77244916824953,0,488,10.005648851394653,,,
2,COM6,1,0,237,50.16902998627651,0,502,10.006173133850098,,,
2,COM6,1,0,236,24.4862130544783,0,245,10.005630493164062,,,
2,COM6,1,0,235,15.091106822792554,0,151,10.005892992019653,,,
2,COM6,1,0,234,13.39139583763055,0,134,10.006425142288208,237,1,0.3626982715469108
2,COM6,1,0,233,11.49373124609028,0,115,10.005454063415527,236,2,0.19005765983529188
2,COM6,1,0,232,11.492920884822384,0,115,10.006159543991089,236,2,-0.06562800146815184
2,COM6,1,0,231,9.994310518449568,0,100,10.005692720413208,236,2,-0.2833193129956848
2,COM6,1,0,230,10.793383420121714,0,108,10.00613021850586,236,2,-0.574686173583763
2,COM6,1,0,229,9.394977836654768,0,94,10.005345582962036,235,3,-0.8053078198020971
2,COM6,1,0,228,9.494273742607433,0,95,10.006031274795532,235,3,-1.059289193188075
2,COM6,1,0,227,12.592346065745351,0,126,10.006078243255615,234,4,-1.4860570862782647
2,COM6,1,0,226,11.592494445344025,0,116,10.006474494934082,234,4,-1.8427333282323346
2,COM6,1,0,225,9.194289606946446,0,92,10.006210803985596,234,4,-2.063194549474969
2,COM6,1,0,224,9.394659274679531,0,94,10.005684852600098,233,4,-2.3024239885964115
2,COM6,1,0,223,8.194896438363397,0,82,10.006227731704712,233,5,-2.4825549626095005
2,COM6,1,0,222,11.79333727550315,0,118,10.00564956665039,233,5,-2.858578144064187
2,COM6,1,0,221,9.793211326138795,0,98,10.006932020187378,232,6,-3.1232336538863716
2,COM6,1,0,220,9.69392290094477,0,97,10.006268978118896,232,6,-3.383565383194954
2,COM6,1,0,219,9.793695036092648,0,98,10.0064377784729,231,6,-3.64985246348143
2,COM6,1,0,218,10.79365114766445,0,108,10.005882024765015,231,7,-3.964453491606367
2,COM6,1,0,217,9.194840827368944,0,92,10.005610942840576,231,7,-4.194519105278031
2,COM6,1,0,216,8.2948913184991,0,83,10.006158828735352,230,7,-4.3805997456668635
2,COM6,1,0,215,7.695611947647573,0,77,10.005702018737793,230,7,-4.541328967231875
2,COM6,1,0,214,9.994689425265038,0,100,10.005313396453857,229,8,-4.83046542603237
2,COM6,1,0,213,8.794502680986163,0,88,10.006250858306885,229,8,-5.057236050969719
2,COM6,1,0,212,10.494058801643757,0,105,10.005661487579346,229,8,-5.369766482956342
2,COM6,1,0,211,10.093354125955187,0,101,10.006584405899048,228,9,-5.658264049740943
2,COM6,1,0,210,9.594745461863065,0,96,10.005476474761963,228,9,-5.919851709574389
2,COM6,1,0,209,9.893621506234405,0,99,10.006447076797485,227,9,-6.1945114583550405
2,COM6,1,0,208,9.994167870216573,0,100,10.00583553314209,227,10,-6.47129099771959
2,COM6,1,0,207,10.19422053408432,0,102,10.005669355392456,226,10,-6.754097979963011
2,COM6,1,0,206,10.193908645334767,0,102,10.005975484848022,226,10,-7.033101729436645
2,COM6,1,0,205,9.094330007322037,0,91,10.006234645843506,225,11,-7.257749283489497
2,COM6,1,0,204,8.694875080543966,0,87,10.005894184112549,225,11,-7.463712862785018
2,COM6,1,0,203,9.894001753888181,0,99,10.006062507629395,224,11,-7.729112067839546
2,COM6,1,0,202,9.794302482932066,0,98,10.005817174911499,224,12,-7.987751770145259
2,COM6,1,0,201,11.29418878821758,0,113,10.00514531135559,223,12,-8.304987841600973
2,COM6,1,0,200,7.794889829501109,0,78,10.006555795669556,223,12,-8.455833016306288
2,COM6,1,0,199,9.494652005347577,0,95,10.005632638931274,223,13,-8.697212472755444
2,COM6,1,0,198,9.593690215628426,0,96,10.006577014923096,222,13,-8.942439174675318
2,COM6,1,0,197,10.293505303279257,0,103,10.006309509277344,222,13,-9.216374746884588
2,COM6,1,0,196,10.993203002608617,0,110,10.00618290901184,221,14,-9.513279922596162
2,COM6,1,0,195,10.194078675776055,0,102,10.005808591842651,221,14,-9.774147656498085
2,COM6,1,0,194,10.19342457544057,0,102,10.006450653076172,220,14,-10.032335289211282
2,COM6,1,0,193,9.793982764676501,0,98,10.006143808364868,220,15,-10.2717296004583
2,COM6,1,0,192,9.394369610231829,0,94,10.005993366241455,219,15,-10.49279741074774
2,COM6,1,0,191,9.494645896798346,0,95,10.00563907623291,219,15,-10.718482966699776
2,COM6,1,0,190,7.895613677637514,0,79,10.005555391311646,218,16,-10.865667161623172
2,COM6,1,0,189,9.59375124715993,0,96,10.006513357162476,218,16,-11.09971597733623
2,COM6,1,0,188,9.69460779416013,0,97,10.00556206703186,217,16,-11.337477886917513
2,COM6,1,0,187,8.894907324207223,0,89,10.005725383758545,217,16,-11.538703014534116
2,COM6,1,0,186,9.39448422030427,0,94,10.005871295928955,216,17,-11.764137675831561
2,COM6,1,0,185,10.494297610834872,0,105,10.005433797836304,216,17,-12.03318892572627
2,COM6,1,0,184,8.894188448700307,0,89,10.006534099578857,215,17,-12.23297191230406
2,COM6,1,0,183,10.493687481192637,0,105,10.006015539169312,215,18,-12.499987481179762
2,COM6,1,0,182,10.693422517596925,0,107,10.006150960922241,214,18,-12.770720654856689
2,COM6,1,0,181,11.093925497699257,0,111,10.005475521087646,214,18,-13.05039582108625
2,COM6,1,0,180,7.894970850201233,0,79,10.006370067596436,214,19,-13.190701794857594
2,COM6,1,0,179,9.794580911525896,0,98,10.00553274154663,213,19,-13.424766336094125
2,COM6,1,0,178,9.993577078406748,0,100,10.00642704963684,213,19,-13.665709471534583
2,COM6,1,0,177,9.094648553697937,0,91,10.005884170532227,212,20,-13.86807723635409
