esp_abeast_id,serial_port,chip,threshold,analysis_mode,points,mu_auto,sigma_auto,r2_auto,mu_minus_3sigma_auto,inflection_auto,best_dac,max_hits_per_s,mu_manual,mu_minus_3sigma_manual,inflection_manual
1,COM12,1,0,gaussian,174,251,3,0.9353725548590496,242.0,,252,158465.846582121,,,
1,COM12,1,1,gaussian,256,248,4,0.9665813366168933,236.0,,247,146892.47740642304,,,
1,COM12,1,2,gaussian,256,248,4,0.9467721962936855,236.0,,247,153543.3711650471,,,
1,COM12,2,0,gaussian,256,253,2,0.8905767485940211,247.0,,254,179413.98195029775,,,
1,COM12,2,1,gaussian,256,249,3,0.9490371797976719,240.0,,247,165718.40350223647,,,
1,COM12,2,2,gaussian,256,247,4,0.8913677317093446,235.0,,244,175332.95814903657,,,
1,COM12,3,0,gaussian,256,253,2,0.9119918058223249,247.0,,254,186064.57416734987,,,
1,COM12,3,1,gaussian,256,246,4,0.883893492429962,234.0,,244,162552.5296330073,,,
1,COM12,3,2,gaussian,256,249,3,0.9720951488831335,240.0,,249,170975.7286938723,,,
