Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
33.5;255;2428385;8173351;947;23867.340747004535;80331.6415485478;9.307573423247671;101.7451012134552
33.5;254;6158384;1578787;922;60588.93120433649;15532.811355917525;9.07104762716944;101.6420636177063
33.5;253;1909122;317594;935;18777.256450558085;3123.7102632301885;9.196235118170451;101.67204165458679
33.5;252;454436;50258;898;4468.87102428218;494.2313547746521;8.830828058968475;101.689218044281
33.5;251;55292;5282;910;544.2519240649071;51.991945722904575;8.957340137796887;101.59265875816345
33.5;250;12758;1675;912;125.35921827097742;16.458433187324594;8.961248398113451;101.77153444290161
33.5;249;3441;1059;871;33.857387629001;10.419928363589671;8.570120495454773;101.63217663764954
33.5;248;1395;964;935;13.715157314740662;9.477714445455195;9.192596479772416;101.71228575706482
33.5;247;987;947;928;9.701493410557612;9.308322451669765;9.121566246198038;101.73691391944885
33.5;246;931;924;917;9.155338189773191;9.086501060526777;9.017663931280362;101.68930745124817
33.5;245;995;995;987;9.777128078633671;9.777128078633671;9.698518003629582;101.7681257724762
33.5;244;939;936;929;9.233061720745978;9.203563120999187;9.134733054923338;101.69974255561829
33.5;243;861;863;860;8.468539604451456;8.488211008875268;8.458703902239549;101.67042255401611
33.5;242;975;973;969;9.584052302917769;9.564392708450246;9.525073519515198;101.73149824142456
33.5;241;923;927;916;9.061727978991572;9.10099873946391;8.993004148164983;101.85695290565491
33.5;240;927;926;918;9.111286186037681;9.101457398350478;9.022827096852849;101.74194741249084
33.5;239;911;909;905;8.95914067226301;8.939471867274507;8.900134257297502;101.68385934829712
33.5;238;914;913;906;8.990408579336272;8.980572246098486;8.911717913433986;101.66390013694763
33.5;237;980;981;973;9.64108646108065;9.650924304408285;9.572221557787218;101.6482949256897
33.5;236;926;930;925;9.098007786437103;9.137308036054542;9.088182724032743;101.78052401542664
33.5;235;896;901;900;8.817948913450895;8.86715621765542;8.857314756814516;101.6109311580658
33.5;234;921;919;915;9.048598594540776;9.028949086192155;8.989650069494909;101.78371715545654
33.5;233;928;930;927;9.123608709800392;9.143271659605997;9.11377723489759;101.71413850784302
33.5;232;886;881;876;8.7060683970271;8.65693708553146;8.607805774035823;101.76809549331665
33.5;231;948;943;943;9.305092818729321;9.256015324959652;9.256015324959652;101.87969303131104
33.5;230;955;947;942;9.384616314925822;9.306001727994506;9.256867611162432;101.76228499412537
33.5;229;941;940;937;9.249117744992558;9.239288714445276;9.20980162280343;101.7394335269928
33.5;228;953;955;948;9.362310384029714;9.381958464583816;9.313190182644458;101.79111361503601
33.5;227;939;942;937;9.224908495907457;9.254381047012592;9.205260128504031;101.78962755203247
33.5;226;909;915;911;8.940139045243484;8.99914986402397;8.959809318170313;101.67627096176147
33.5;225;927;921;924;9.110413992737307;9.051446911878166;9.080930452307737;101.75168776512146
33.5;224;927;924;915;9.121783715471429;9.092263379822654;9.00370237287633;101.6248607635498
33.5;223;935;932;929;9.18831972618051;9.158838486417364;9.129357246654218;101.75962829589844
33.5;222;905;904;907;8.883123952413813;8.87330834583656;8.902755165568317;101.87857389450073
33.5;221;916;908;901;9.00095172730774;8.922340795191515;8.853556229589818;101.76701617240906
33.5;220;886;879;881;8.708710677452505;8.639905965553895;8.659564454667784;101.73721837997437
33.5;219;921;922;920;9.053696666156915;9.063526955696716;9.043866376617114;101.72640347480774
33.5;218;930;931;927;9.146054729637271;9.155889197088493;9.116551327283602;101.68318772315979
33.5;217;962;959;949;9.463219579579539;9.43370849980954;9.335338233909546;101.65673446655273
33.5;216;881;884;885;8.662788602455134;8.692287315062813;8.702120219265373;101.69935345649719
33.5;215;869;870;867;8.541558193206534;8.551387374096299;8.521899831427001;101.737877368927
33.5;214;919;917;908;9.03830129826706;9.018631436899776;8.930117060746998;101.6783983707428
33.5;213;925;925;923;9.090832703878426;9.090832703878426;9.071176849383553;101.75085496902466
33.5;212;909;905;904;8.937720653081419;8.898390749217475;8.888558273251489;101.70378279685974
33.5;211;968;969;959;9.522800985231509;9.532638589555097;9.434262546319234;101.65076446533203
33.5;210;876;875;865;8.607065562049655;8.597240144741379;8.498985971658621;101.77684760093689
33.5;209;893;895;893;8.7668217061006;8.78645624519601;8.7668217061006;101.86131644248962
