source,analysis_mode,chip,threshold,dac,hits_per_s,mu_user_dac,target_hits_requested,target_dac_for_hits,target_hits_found,n_sigma_from_mu,sigma_ref
noise_scan_raw,gaussian,1,1,229,182.61454690395894,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,228,67.02998159924013,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,227,35.26010281516302,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,226,11.68796678110262,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,225,6.693739716342617,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,224,2.9969002122424193,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,223,2.097979403115076,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,222,0.6992951036051435,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,221,1.0988916513343323,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,220,0.5993936188212913,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,219,0.4994825954483261,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,218,0.2996913702715038,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,217,0.3995759790598875,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,216,0.5993840110827036,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,215,0.29971355634642355,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,214,0.49949652636896846,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,213,0.6992925053247582,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,212,0.2996966095437711,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,211,0.2997014278373198,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,210,0.1997814804320864,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,209,0.09990437362461312,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,208,0.299694396749759,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,207,0.19979655001994726,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,206,0.0,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,1,205,0.0,242,2.0,222,0.6992951036051435,4.0,5.0
noise_scan_raw,gaussian,1,2,255,70365.64921776038,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,254,75461.09334329392,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
