Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
35.0;255;286;443;726;5.540612360576046;8.582137327745412;14.064631376846885;51.61884307861328
35.0;254;351;544;767;6.777799462449216;10.50462366829736;14.810746973500137;51.78671956062317
35.0;253;442;635;778;8.535404246487563;12.262402028324892;15.023856343364987;51.78430771827698
35.0;252;508;677;779;9.824518962327176;13.092912081684052;15.065551715852106;51.70736622810364
35.0;251;614;769;785;11.887492068339553;14.888406189825922;15.198177970108386;51.650928258895874
35.0;250;656;772;761;12.718797950511464;14.967853685662881;14.754581159053695;51.57720112800598
35.0;249;808;882;791;15.657956365999334;17.091977122291354;15.328519165229547;51.60315823554993
35.0;248;1003;1016;929;19.415394608381355;19.667039802707336;17.982952732987318;51.66003680229187
35.0;247;1114;1065;882;21.565282498249953;20.61671980308456;17.074128512977072;51.65710210800171
35.0;246;1216;1043;891;23.48319495298629;20.142246986813074;17.20684761768979;51.781710386276245
35.0;245;1250;1036;956;24.168364840857723;20.03074078010288;18.483965430287988;51.72050356864929
35.0;244;1352;1061;1323;26.143677798374334;20.51659921899051;25.582903644415122;51.71422362327576
35.0;243;1439;1152;14032;27.8150392931677;22.267494972709653;271.23045959814397;51.73460245132446
35.0;242;1534;1071;105210;29.68767934623288;20.727186818654115;2036.1412933619042;51.67126679420471
35.0;241;1468;1041;528827;28.347927571136147;20.10231103648006;10211.954695954506;51.78509068489075
35.0;240;1535;1077;2372025;29.704212600418717;20.84132701671072;45901.71654300209;51.67617201805115
35.0;239;1435;959;6622046;27.770154701252427;18.558591190593084;128149.99432669673;51.67418098449707
35.0;238;1731;1196;12983375;33.48255240699701;23.13410322285871;251136.06808618995;51.698567628860474
35.0;237;1784;3237;16556105;34.48077216958726;62.56404681219392;319992.8724892178;51.738980531692505
35.0;236;1805;33820;14800646;34.92783519347229;654.4373330987439;286401.3984736426;51.67798089981079
35.0;235;2083;489454;7408298;40.317873365377835;9473.71310138149;143392.61671482568;51.66443133354187
35.0;234;4566;1878949;3218311;88.37652205412813;36367.71303922076;62291.531552462366;51.665305376052856
35.0;233;32613;5392814;1103912;630.1412736422055;104198.77602414733;21329.546918986733;51.75506091117859
35.0;232;407437;12488471;314309;7862.294301930495;240989.48888570312;6065.207282955333;51.82164192199707
35.0;231;4612599;1049865;69769;89066.63583687806;20272.289794296878;1347.1992938694964;51.788180351257324
35.0;230;12298572;15819916;24050;237983.19771607878;306122.87323111645;465.37889968621516;51.67832064628601
35.0;229;1235737;11320876;7349;23860.084236768464;218587.81843872153;141.897312337505;51.79097390174866
35.0;228;2045751;5576033;885;39569.361662288626;107852.84544299686;17.117862863625845;51.70037913322449
35.0;227;8767449;639155;447;169567.22543287987;12361.604837570465;8.645222774434993;51.704856157302856
35.0;226;2905282;78058;427;56189.35765897684;1509.674062670823;8.258356923831528;51.70520043373108
35.0;225;915761;9304;424;17713.621344558935;179.96784421893523;8.2014580770452;51.698124408721924
35.0;224;232311;1147;371;4492.848545745678;22.182751922940767;7.175066227908478;51.70683979988098
35.0;223;49748;2645;420;962.8592894855121;51.19327049708892;8.12898813186289;51.66694712638855
35.0;222;10184;783;413;196.9231502775249;15.140497512500197;7.985984000846209;51.71560573577881
35.0;221;2496;517;412;48.232700249805625;9.99050722321695;7.96148738097753;51.74912428855896
35.0;220;806;444;422;15.611930577237516;8.600120566120914;8.173988465997805;51.62718319892883
35.0;219;447;417;410;8.63884873904633;8.059060233070067;7.923776248342271;51.74300575256348
35.0;218;420;405;398;8.116957400166836;7.8270660644465915;7.691783441110477;51.743526458740234
35.0;217;434;423;412;8.391186723820514;8.178506875981745;7.965827028142976;51.72093224525452
35.0;216;468;448;442;9.064883147757925;8.677494979050321;8.56127852843804;51.62780284881592
35.0;215;398;399;391;7.698349602940782;7.717692189882845;7.562951494346347;51.699392795562744
35.0;214;445;443;441;8.595904911173843;8.557271630674185;8.518638350174529;51.768836975097656
35.0;213;452;452;442;8.747072554430327;8.747072554430327;8.55355325012877;51.67443132400513
