Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
37.5;255;0;0;9;0.0;0.0;0.17425274183291364;51.649115562438965
37.5;254;0;0;11;0.0;0.0;0.21292913395863738;51.660380125045776
37.5;253;0;0;18;0.0;0.0;0.3479731122727626;51.728134632110596
37.5;252;0;0;28;0.0;0.0;0.5419814364506484;51.662286043167114
37.5;251;0;1;52;0.0;0.01935149954023911;1.0062779760924339;51.67558193206787
37.5;250;0;0;77;0.0;0.0;1.4885173298224585;51.72932720184326
37.5;249;2;5;142;0.03875090423194292;0.09687726057985731;2.7513142004679474;51.6116988658905
37.5;248;2;5;193;0.038722130297679264;0.09680532574419816;3.7366855737260494;51.65005087852478
37.5;247;2;7;346;0.038715322287466644;0.13550362800613328;6.69775075573173;51.659133434295654
37.5;246;3;10;462;0.05813402017736318;0.19378006725787728;8.95263910731393;51.6048948764801
37.5;245;6;20;721;0.11594236764337054;0.38647455881123516;13.932407845145027;51.74984884262085
37.5;244;10;25;1216;0.19327626686843358;0.48319066717108394;23.502394051201524;51.73940992355347
37.5;243;10;40;10837;0.19355786525763308;0.7742314610305323;209.75865857969697;51.6641366481781
37.5;242;25;100;86131;0.48285443922614685;1.9314177569045874;1663.5494281994902;51.77543783187866
37.5;241;44;171;514129;0.8504126077221937;3.3050126345567077;9936.858718081903;51.73959040641785
37.5;240;71;293;2298209;1.3752194189809444;5.675201264245306;44514.671065870105;51.628124952316284
37.5;239;119;450;6284654;2.3013672349672287;8.702649207859267;121540.30923282128;51.70839238166809
37.5;238;156;633;12595848;3.0210441903868976;12.25846777253145;243927.00912433607;51.63777494430542
37.5;237;202;2404;16331224;3.9130746382987516;46.56946252708019;316362.86359790043;51.62181115150452
37.5;236;303;26293;15076918;5.855361110871017;508.1023422050549;291355.77336300735;51.74744892120361
37.5;235;873;435470;7547676;16.865047467181387;8412.625682168933;145809.75258522993;51.76386260986328
37.5;234;4427;1811801;3273592;85.54339861636397;35009.62619302617;63255.97139447485;51.75150942802429
37.5;233;35571;5041402;1197628;688.6836330712855;97605.66318441552;23187.056931430026;51.65071201324463
37.5;232;405974;11929561;337719;7864.565819744365;231100.55738829434;6542.323656387472;51.62065005302429
37.5;231;4274248;869688;79336;82696.67212543412;16826.422656669558;1534.9654909456451;51.68585252761841
37.5;230;12845010;16235125;24986;248495.83627863563;314080.01737353136;483.3719059197299;51.69104719161987
37.5;229;1550882;11443970;7296;30014.58671552508;221477.86223250226;141.2012162604705;51.67094302177429
37.5;228;1995543;5988892;983;38554.530148902166;115707.31233179089;18.9918749615372;51.758975982666016
37.5;227;9021617;754551;344;174238.66826721953;14572.992998893522;6.643831353506087;51.777352809906006
37.5;226;2879319;88878;336;55683.42573241954;1718.820148877559;6.497936159936765;51.708725929260254
37.5;225;874646;11984;318;16887.62731611999;231.38655611113748;6.139930310692733;51.7921187877655
37.5;224;200501;1389;282;3871.8471509733063;26.822787381119905;5.44566309681484;51.784327268600464
37.5;223;50383;3730;321;973.7507992280019;72.08960326142642;6.2039578141871;51.741164207458496
37.5;222;11783;1191;334;227.89628625101628;23.03526070822035;6.4599303749333306;51.703343629837036
37.5;221;3459;707;287;66.85000778252716;13.663762793364182;5.546675985425064;51.74270153045654
37.5;220;1088;555;297;21.054245381125625;10.739987303791105;5.747344557163889;51.67603874206543
37.5;219;653;505;280;12.626226511745067;9.76453964537712;5.414002179615037;51.717747926712036
37.5;218;536;421;269;10.37156912073047;8.14632574594688;5.205134502754658;51.67974042892456
37.5;217;519;414;286;10.039721992184477;8.00856436370785;5.532486492803007;51.694658517837524
37.5;216;456;402;273;8.822613973545534;7.777830739836195;5.281959681530551;51.685362339019775
37.5;215;394;364;259;7.623817931749456;7.0433241806010205;5.0115960515814955;51.680142879486084
37.5;214;406;391;269;7.855550975180049;7.5653212593482735;5.204786237249835;51.68319845199585
37.5;213;350;342;229;6.765427217537916;6.61078888113705;4.426522379474808;51.73361396789551
37.5;212;336;328;216;6.507467730875824;6.352528022997829;4.183372112705887;51.63298749923706
37.5;211;328;325;196;6.346436846405191;6.288390167931973;3.79238299358359;51.68254375457764
37.5;210;361;348;209;6.979734287841698;6.728386515703354;4.04089879822414;51.72116661071777
37.5;209;353;344;191;6.8142075458021285;6.640474208940318;3.6870074822895367;51.803529262542725
37.5;208;330;318;154;6.380033102579207;6.148031898849054;2.97734878120363;51.72386956214905
37.5;207;344;344;171;6.653851043418602;6.653851043418602;3.307582931466805;51.69938397407532
37.5;206;356;346;138;6.876689725098616;6.683524283382362;2.6656830956842947;51.769094467163086
37.5;205;320;307;112;6.193333088462892;5.941728931744088;2.1676665809620124;51.6684627532959
37.5;204;349;330;141;6.74584035256923;6.378588298990962;2.725396818659775;51.7355854511261
37.5;203;340;322;127;6.584502802504915;6.235911477666419;2.459505458582718;51.63639688491821
37.5;202;289;264;95;5.584548395480708;5.101455973726321;1.8357512026666685;51.749932050704956
37.5;201;312;290;100;6.04147802516294;5.615476369542476;1.9363711619111987;51.64299178123474
37.5;200;295;267;87;5.710004561239508;5.168038026613385;1.6839674468740244;51.6637065410614
37.5;199;280;266;74;5.42006357193647;5.149060393339646;1.4324453725832098;51.659910678863525
37.5;198;261;242;66;5.044607919022712;4.677375924917611;1.2756479795229847;51.73841142654419
37.5;197;277;249;72;5.356955842845652;4.815458501330568;1.3924217353245016;51.70847177505493
37.5;196;253;229;52;4.88692398978691;4.423342267435582;1.0044270650945426;51.77080726623535
37.5;195;210;184;50;4.06385656516534;3.5607124190020123;0.9675848964679381;51.67505216598511
