Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
38.0;255;0;0;1;0.0;0.0;0.019351496861745976;51.675589084625244
38.0;254;0;0;5;0.0;0.0;0.09539813509299218;52.41192603111267
38.0;253;0;0;1;0.0;0.0;0.019319524642220646;51.76110792160034
38.0;252;0;0;4;0.0;0.0;0.07742313645620505;51.664143085479736
38.0;251;0;0;7;0.0;0.0;0.13538459342124953;51.704553842544556
38.0;250;0;0;25;0.0;0.0;0.48380892633227307;51.67329216003418
38.0;249;0;0;19;0.0;0.0;0.367455288341627;51.706971168518066
38.0;248;0;1;48;0.0;0.0193460289249678;0.9286093883984545;51.690194606781006
38.0;247;0;1;112;0.0;0.019317042988031767;2.163508814659558;51.76775765419006
38.0;246;0;0;150;0.0;0.0;2.895844452789461;51.798362255096436
38.0;245;1;3;305;0.01938111375178515;0.058143341255355446;5.91123969429447;51.59662199020386
38.0;244;2;5;698;0.03870224536708345;0.09675561341770864;13.507083633112124;51.67658829689026
38.0;243;2;6;11494;0.03870878977831254;0.11612636933493761;222.45941485596214;51.66785144805908
38.0;242;4;15;108615;0.07741894352046763;0.29032103820175365;2102.214637618898;51.66694116592407
38.0;241;4;29;586580;0.07730952564219395;0.5604940609059061;11337.055387799532;51.74006652832031
38.0;240;2;55;2345193;0.03871964289377206;1.0647901795787316;45402.51773848699;51.65336894989014
38.0;239;19;141;6337224;0.36750380482934614;2.7272650779440952;122576.52273978149;51.70014500617981
38.0;238;16;317;13179379;0.3095395438548806;6.132752212624822;254971.18524691203;51.689680099487305
38.0;237;61;2209;16623542;1.1791685821916573;42.70136718133396;321343.58116628637;51.731364727020264
38.0;236;118;29363;15230870;2.2811087479682155;567.6287810728026;294434.4982725987;51.72923040390015
38.0;235;377;446769;7956623;7.28871190878192;8637.58761478671;153828.9995060693;51.723816871643066
38.0;234;3534;1918732;3373508;68.27414217548908;37068.41577947383;65173.561070217824;51.76190996170044
38.0;233;31261;5086582;1219182;603.3406891940065;98171.58406710687;23530.3447788915;51.813180446624756
38.0;232;310167;11408718;379263;5994.113083519055;220478.47072699337;7329.4235376254965;51.745270013809204
38.0;231;3633878;742648;91372;70268.80243288384;14360.687284817024;1766.8730254283337;51.71395945549011
38.0;230;12441228;106627;26524;240860.3473308974;2064.2830639267763;513.5007454734149;51.653284311294556
38.0;229;1428899;12091243;7832;27684.71203108614;234266.08917277292;151.74387036975088;51.61328744888306
38.0;228;2306050;6274354;920;44557.463800760896;121232.97466583957;17.776226316298445;51.7545166015625
38.0;227;8835867;718820;273;170885.15338859637;13901.936952965774;5.279804106952584;51.70646381378174
38.0;226;2887301;93168;308;55846.26072280887;1802.0581917239167;5.957345043909565;51.70088315010071
38.0;225;871811;11574;255;16855.73403765179;223.77357678646152;4.930210997109702;51.72192430496216
38.0;224;210385;1387;245;4060.8419214789205;26.77181236823568;4.728979113350931;51.80822205543518
38.0;223;54028;4137;281;1044.506382509127;79.97932376620008;5.432484887189322;51.725868701934814
38.0;222;11887;1137;231;229.9215371784475;21.9921584732813;4.468063858687757;51.70024585723877
38.0;221;3110;669;191;60.06517048110679;12.92077139931204;3.6888898912834076;51.77709436416626
38.0;220;1037;558;214;20.048623290084166;10.787976659466697;4.1373243819460095;51.724249839782715
38.0;219;589;473;195;11.38871189572873;9.145773729507113;3.770456400113926;51.71787691116333
38.0;218;522;407;174;10.101874357007663;7.876365638509806;3.3672914523358877;51.67357873916626
38.0;217;434;346;153;8.385054707485086;6.684859282925898;2.9560215904267704;51.758755922317505
38.0;216;418;367;167;8.097035869150792;7.109120009517562;3.234940167818618;51.62382960319519
38.0;215;365;342;124;7.0644252316920015;6.619269669147026;2.3999691198076936;51.66733145713806
38.0;214;391;378;154;7.569393384361643;7.317725573628391;2.981295604070826;51.655394315719604
38.0;213;359;352;123;6.940070749626068;6.804749035845059;2.377795827866313;51.72857928276062
38.0;212;336;326;115;6.500338396377826;6.306875944104677;2.22481820114122;51.689616680145264
38.0;211;332;312;91;6.413054712723357;6.026726115571347;1.757795117041643;51.76940083503723
38.0;210;315;301;80;6.085915758496714;5.815430613674638;1.5456293989832925;51.75884985923767
38.0;209;302;287;72;5.84535562687;5.555023393747318;1.3935947189888742;51.6649489402771
38.0;208;308;281;60;5.948765348998139;5.427282672300249;1.158850392661975;51.77544951438904
38.0;207;273;262;56;5.280927194390155;5.06814258216198;1.0832671167979804;51.695467472076416
38.0;206;296;271;64;5.729154919204897;5.245273591569348;1.2387361987470047;51.665560483932495
38.0;205;245;217;36;4.7390433366837;4.197438383919849;0.6963492249820947;51.69819784164429
38.0;204;280;242;47;5.4159832633934055;4.680956963361443;0.9091114763553216;51.698830366134644
38.0;203;260;230;40;5.0284846114411375;4.448274848582545;0.7736130171447905;51.70543813705444
38.0;202;235;210;35;4.544322534136934;4.060883966675558;0.6768139944459263;51.712878704071045
38.0;201;203;167;29;3.925732097155452;3.229543153817539;0.5608188710222074;51.710100173950195
38.0;200;186;159;20;3.6093984572971505;3.085453519947564;0.38810736099969356;51.532132625579834
38.0;199;165;146;19;3.1902402475861145;2.8228792493792283;0.3673609982068859;51.720242738723755
38.0;198;153;126;18;2.963001758555987;2.440119095281401;0.3485884421830573;51.636823892593384
38.0;197;135;109;13;2.61311216878871;2.10984612146644;0.25163302366113505;51.662535429000854
38.0;196;134;108;16;2.597670587167366;2.09364495085131;0.3101696223483422;51.58467769622803
38.0;195;132;104;14;2.556249819933026;2.0140150096442024;0.27111740514441185;51.638145446777344
