adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
629.654384;284265.527359;0.284265527;301.805063948065;94232.645876
642.226460;288059.843678;0.288059844;301.805063948065;94232.645876
654.798536;291854.159996;0.291854160;301.805063948065;94232.645876
667.370613;295648.476314;0.295648476;301.805063948065;94232.645876
679.942689;299442.792633;0.299442793;301.805063948065;94232.645876
692.514765;303237.108951;0.303237109;301.805063948065;94232.645876
705.086842;307031.425270;0.307031425;301.805063948065;94232.645876
717.658918;310825.741588;0.310825742;301.805063948065;94232.645876
730.230995;314620.057906;0.314620058;301.805063948065;94232.645876
742.803071;318414.374225;0.318414374;301.805063948065;94232.645876
755.375147;322208.690543;0.322208691;301.805063948065;94232.645876
767.947224;326003.006862;0.326003007;301.805063948065;94232.645876
780.519300;329797.323180;0.329797323;301.805063948065;94232.645876
793.091377;333591.639498;0.333591639;301.805063948065;94232.645876
805.663453;337385.955817;0.337385956;301.805063948065;94232.645876
818.235529;341180.272135;0.341180272;301.805063948065;94232.645876
830.807606;344974.588454;0.344974588;301.805063948065;94232.645876
843.379682;348768.904772;0.348768905;301.805063948065;94232.645876
855.951759;352563.221090;0.352563221;301.805063948065;94232.645876
868.523835;356357.537409;0.356357537;301.805063948065;94232.645876
881.095911;360151.853727;0.360151854;301.805063948065;94232.645876
893.667988;363946.170046;0.363946170;301.805063948065;94232.645876
906.240064;367740.486364;0.367740486;301.805063948065;94232.645876
918.812140;371534.802682;0.371534803;301.805063948065;94232.645876
931.384217;375329.119001;0.375329119;301.805063948065;94232.645876
943.956293;379123.435319;0.379123435;301.805063948065;94232.645876
956.528370;382917.751638;0.382917752;301.805063948065;94232.645876
969.100446;386712.067956;0.386712068;301.805063948065;94232.645876
981.672522;390506.384274;0.390506384;301.805063948065;94232.645876
994.244599;394300.700593;0.394300701;301.805063948065;94232.645876
1006.816675;398095.016911;0.398095017;301.805063948065;94232.645876
1019.388752;401889.333230;0.401889333;301.805063948065;94232.645876
1031.960828;405683.649548;0.405683650;301.805063948065;94232.645876
1044.532904;409477.965866;0.409477966;301.805063948065;94232.645876
1057.104981;413272.282185;0.413272282;301.805063948065;94232.645876
1069.677057;417066.598503;0.417066599;301.805063948065;94232.645876
1082.249134;420860.914821;0.420860915;301.805063948065;94232.645876
1094.821210;424655.231140;0.424655231;301.805063948065;94232.645876
1107.393286;428449.547458;0.428449547;301.805063948065;94232.645876
1119.965363;432243.863777;0.432243864;301.805063948065;94232.645876
1132.537439;436038.180095;0.436038180;301.805063948065;94232.645876
1145.109515;439832.496413;0.439832496;301.805063948065;94232.645876
1157.681592;443626.812732;0.443626813;301.805063948065;94232.645876
1170.253668;447421.129050;0.447421129;301.805063948065;94232.645876
1182.825745;451215.445369;0.451215445;301.805063948065;94232.645876
1195.397821;455009.761687;0.455009762;301.805063948065;94232.645876
1207.969897;458804.078005;0.458804078;301.805063948065;94232.645876
1220.541974;462598.394324;0.462598394;301.805063948065;94232.645876
1233.114050;466392.710642;0.466392711;301.805063948065;94232.645876
1245.686127;470187.026961;0.470187027;301.805063948065;94232.645876
1258.258203;473981.343279;0.473981343;301.805063948065;94232.645876
1270.830279;477775.659597;0.477775660;301.805063948065;94232.645876
1283.402356;481569.975916;0.481569976;301.805063948065;94232.645876
1295.974432;485364.292234;0.485364292;301.805063948065;94232.645876
1308.546509;489158.608553;0.489158609;301.805063948065;94232.645876
1321.118585;492952.924871;0.492952925;301.805063948065;94232.645876
1333.690661;496747.241189;0.496747241;301.805063948065;94232.645876
1346.262738;500541.557508;0.500541558;301.805063948065;94232.645876
1358.834814;504335.873826;0.504335874;301.805063948065;94232.645876
1371.406890;508130.190145;0.508130190;301.805063948065;94232.645876
1383.978967;511924.506463;0.511924506;301.805063948065;94232.645876
1396.551043;515718.822781;0.515718823;301.805063948065;94232.645876
1409.123120;519513.139100;0.519513139;301.805063948065;94232.645876
1421.695196;523307.455418;0.523307455;301.805063948065;94232.645876
1434.267272;527101.771737;0.527101772;301.805063948065;94232.645876
1446.839349;530896.088055;0.530896088;301.805063948065;94232.645876
1459.411425;534690.404373;0.534690404;301.805063948065;94232.645876
1471.983502;538484.720692;0.538484721;301.805063948065;94232.645876
1484.555578;542279.037010;0.542279037;301.805063948065;94232.645876
1497.127654;546073.353328;0.546073353;301.805063948065;94232.645876
1509.699731;549867.669647;0.549867670;301.805063948065;94232.645876
1522.271807;553661.985965;0.553661986;301.805063948065;94232.645876
1534.843883;557456.302284;0.557456302;301.805063948065;94232.645876
