Gap;Threshold;Total Hits;Measurement Time (s);hit rate
38.5;246;2126;300;7.086666666666667
38.5;245;2017;300;6.723333333333334
38.5;244;1891;300;6.303333333333334
38.5;243;1729;300;5.763333333333334
38.5;242;1746;300;5.82
38.5;241;1589;300;5.296666666666667
38.5;240;1439;300;4.796666666666667
38.5;239;1300;300;4.333333333333333
38.5;238;1208;300;4.026666666666666
38.5;237;1009;300;3.3633333333333333
38.5;236;886;300;2.953333333333333
38.5;235;789;300;2.63
38.5;234;679;300;2.263333333333333
38.5;233;504;300;1.68
38.5;232;431;300;1.4366666666666668
38.5;231;410;300;1.3666666666666667
38.5;230;327;300;1.09
38.5;229;234;300;0.78
38.5;228;183;300;0.61
38.5;227;163;300;0.5433333333333333
38.5;226;112;300;0.37333333333333335
38.5;225;90;300;0.3
38.5;224;49;300;0.16333333333333333
38.5;223;41;300;0.13666666666666666
38.5;222;34;300;0.11333333333333333
38.5;221;28;300;0.09333333333333334
38.5;220;16;300;0.05333333333333334
38.5;219;10;300;0.03333333333333333
38.5;218;7;300;0.023333333333333334
38.5;217;6;300;0.02
38.5;216;4;300;0.013333333333333334
38.5;215;4;300;0.013333333333333334
38.5;214;4;300;0.013333333333333334
38.5;213;0;300;0.0
38.5;212;0;300;0.0
