Gap;Threshold;Total Hits;Measurement Time (s);hit rate
39.5;246;1221;300;4.07
39.5;245;882;300;2.94
39.5;244;766;300;2.5533333333333332
39.5;243;590;300;1.9666666666666666
39.5;242;469;300;1.5633333333333332
39.5;241;345;300;1.15
39.5;240;272;300;0.9066666666666666
39.5;239;134;300;0.44666666666666666
39.5;238;105;300;0.35
39.5;237;71;300;0.23666666666666666
39.5;236;49;300;0.16333333333333333
39.5;235;26;300;0.08666666666666667
39.5;234;23;300;0.07666666666666666
39.5;233;12;300;0.04
39.5;232;11;300;0.03666666666666667
39.5;231;0;300;0.0
39.5;230;2;300;0.006666666666666667
39.5;229;0;300;0.0
39.5;228;2;300;0.006666666666666667
39.5;227;0;300;0.0
39.5;226;1;300;0.0033333333333333335
39.5;225;0;300;0.0
39.5;224;2;300;0.006666666666666667
39.5;223;1;300;0.0033333333333333335
39.5;222;0;300;0.0
39.5;221;0;300;0.0
