Gap;Threshold;Total Hits;Measurement Time (s);hit rate
39.0;246;1754;300;5.846666666666667
39.0;245;1453;300;4.843333333333334
39.0;244;1365;300;4.55
39.0;243;1239;300;4.13
39.0;242;1092;300;3.64
39.0;241;884;300;2.9466666666666668
39.0;240;831;300;2.77
39.0;239;578;300;1.9266666666666667
39.0;238;476;300;1.5866666666666667
39.0;237;328;300;1.0933333333333333
39.0;236;263;300;0.8766666666666667
39.0;235;201;300;0.67
39.0;234;175;300;0.5833333333333334
39.0;233;112;300;0.37333333333333335
39.0;232;93;300;0.31
39.0;231;66;300;0.22
39.0;230;56;300;0.18666666666666668
39.0;229;41;300;0.13666666666666666
39.0;228;26;300;0.08666666666666667
39.0;227;14;300;0.04666666666666667
39.0;226;16;300;0.05333333333333334
39.0;225;3;300;0.01
39.0;224;6;300;0.02
39.0;223;3;300;0.01
39.0;222;1;300;0.0033333333333333335
39.0;221;0;300;0.0
39.0;220;3;300;0.01
39.0;219;1;300;0.0033333333333333335
39.0;218;0;300;0.0
39.0;217;0;300;0.0
