Gap;Threshold;Total Hits;Measurement Time (s);hit rate
31.5;246;3362;300;11.206666666666667
31.5;245;3199;300;10.663333333333334
31.5;244;3282;300;10.94
31.5;243;3257;300;10.856666666666667
31.5;242;3221;300;10.736666666666666
31.5;241;3301;300;11.003333333333334
31.5;240;3197;300;10.656666666666666
31.5;239;3161;300;10.536666666666667
31.5;238;3222;300;10.74
31.5;237;3217;300;10.723333333333333
31.5;236;3173;300;10.576666666666666
31.5;235;3310;300;11.033333333333333
31.5;234;3166;300;10.553333333333333
31.5;233;3248;300;10.826666666666666
31.5;232;3281;300;10.936666666666667
31.5;231;3196;300;10.653333333333334
31.5;230;3226;300;10.753333333333334
31.5;229;3182;300;10.606666666666667
31.5;228;3236;300;10.786666666666667
31.5;227;3176;300;10.586666666666666
31.5;226;3101;300;10.336666666666666
31.5;225;3210;300;10.7
31.5;224;3154;300;10.513333333333334
31.5;223;3268;300;10.893333333333333
31.5;222;3113;300;10.376666666666667
31.5;221;3201;300;10.67
31.5;220;3147;300;10.49
31.5;219;3215;300;10.716666666666667
31.5;218;3218;300;10.726666666666667
31.5;217;3196;300;10.653333333333334
31.5;216;3258;300;10.86
31.5;215;3249;300;10.83
31.5;214;3167;300;10.556666666666667
31.5;213;3289;300;10.963333333333333
31.5;212;3168;300;10.56
31.5;211;3201;300;10.67
31.5;210;3191;300;10.636666666666667
31.5;209;3199;300;10.663333333333334
31.5;208;3119;300;10.396666666666667
31.5;207;3226;300;10.753333333333334
31.5;206;3201;300;10.67
31.5;205;3202;300;10.673333333333334
31.5;204;3221;300;10.736666666666666
31.5;203;3159;300;10.53
31.5;202;3212;300;10.706666666666667
31.5;201;3140;300;10.466666666666667
31.5;200;3202;300;10.673333333333334
31.5;199;3102;300;10.34
31.5;198;3174;300;10.58
31.5;197;3121;300;10.403333333333334
31.5;196;3205;300;10.683333333333334
31.5;195;3089;300;10.296666666666667
31.5;194;3183;300;10.61
31.5;193;3219;300;10.73
31.5;192;3151;300;10.503333333333334
31.5;191;3142;300;10.473333333333333
31.5;190;3193;300;10.643333333333333
31.5;189;3129;300;10.43
31.5;188;3130;300;10.433333333333334
31.5;187;3234;300;10.78
31.5;186;3285;300;10.95
31.5;185;3147;300;10.49
31.5;184;3232;300;10.773333333333333
31.5;183;3181;300;10.603333333333333
31.5;182;3113;300;10.376666666666667
31.5;181;3154;300;10.513333333333334
31.5;180;3243;300;10.81
31.5;179;3193;300;10.643333333333333
31.5;178;3111;300;10.37
31.5;177;3144;300;10.48
31.5;176;3020;300;10.066666666666666
31.5;175;3131;300;10.436666666666667
31.5;174;3161;300;10.536666666666667
31.5;173;3217;300;10.723333333333333
31.5;172;3159;300;10.53
31.5;171;3181;300;10.603333333333333
31.5;170;3120;300;10.4
31.5;169;3196;300;10.653333333333334
31.5;168;3224;300;10.746666666666666
31.5;167;3242;300;10.806666666666667
31.5;166;3078;300;10.26
31.5;165;3161;300;10.536666666666667
31.5;164;3148;300;10.493333333333334
31.5;163;3154;300;10.513333333333334
31.5;162;3110;300;10.366666666666667
31.5;161;3173;300;10.576666666666666
31.5;160;3054;300;10.18
31.5;159;3062;300;10.206666666666667
31.5;158;3207;300;10.69
31.5;157;3144;300;10.48
31.5;156;3059;300;10.196666666666667
31.5;155;3080;300;10.266666666666667
31.5;154;3062;300;10.206666666666667
31.5;153;3108;300;10.36
31.5;152;3016;300;10.053333333333333
31.5;151;3030;300;10.1
31.5;150;3027;300;10.09
31.5;149;3096;300;10.32
31.5;148;3135;300;10.45
31.5;147;3127;300;10.423333333333334
31.5;146;3223;300;10.743333333333334
31.5;145;3040;300;10.133333333333333
31.5;144;3170;300;10.566666666666666
31.5;143;3089;300;10.296666666666667
31.5;142;3059;300;10.196666666666667
31.5;141;3030;300;10.1
31.5;140;3159;300;10.53
31.5;139;3039;300;10.13
31.5;138;3069;300;10.23
31.5;137;2995;300;9.983333333333333
31.5;136;3077;300;10.256666666666666
31.5;135;3133;300;10.443333333333333
31.5;134;3049;300;10.163333333333334
31.5;133;3059;300;10.196666666666667
31.5;132;3005;300;10.016666666666667
31.5;131;3042;300;10.14
31.5;130;3088;300;10.293333333333333
31.5;129;3021;300;10.07
31.5;128;2999;300;9.996666666666666
31.5;127;3067;300;10.223333333333333
31.5;126;3017;300;10.056666666666667
31.5;125;3042;300;10.14
31.5;124;3018;300;10.06
31.5;123;2928;300;9.76
31.5;122;2871;300;9.57
31.5;121;2951;300;9.836666666666666
31.5;120;2996;300;9.986666666666666
31.5;119;2987;300;9.956666666666667
31.5;118;2944;300;9.813333333333333
31.5;117;2825;300;9.416666666666666
31.5;116;2826;300;9.42
31.5;115;2865;300;9.55
31.5;114;2765;300;9.216666666666667
31.5;113;2712;300;9.04
31.5;112;2728;300;9.093333333333334
31.5;111;2654;300;8.846666666666666
31.5;110;2594;300;8.646666666666667
31.5;109;2413;300;8.043333333333333
31.5;108;2432;300;8.106666666666667
31.5;107;2372;300;7.906666666666666
31.5;106;2314;300;7.713333333333333
31.5;105;2146;300;7.153333333333333
31.5;104;1915;300;6.383333333333334
31.5;103;1918;300;6.3933333333333335
31.5;102;1780;300;5.933333333333334
31.5;101;1590;300;5.3
31.5;100;1465;300;4.883333333333334
