Gap;Threshold;Total Hits;Measurement Time (s);hit rate
35.0;246;2706;300;9.02
35.0;245;2548;300;8.493333333333334
35.0;244;2576;300;8.586666666666666
35.0;243;2509;300;8.363333333333333
35.0;242;2561;300;8.536666666666667
35.0;241;2590;300;8.633333333333333
35.0;240;2533;300;8.443333333333333
35.0;239;2557;300;8.523333333333333
35.0;238;2529;300;8.43
35.0;237;2513;300;8.376666666666667
35.0;236;2488;300;8.293333333333333
35.0;235;2489;300;8.296666666666667
35.0;234;2551;300;8.503333333333334
35.0;233;2494;300;8.313333333333333
35.0;232;2540;300;8.466666666666667
35.0;231;2558;300;8.526666666666667
35.0;230;2480;300;8.266666666666667
35.0;229;2531;300;8.436666666666667
35.0;228;2485;300;8.283333333333333
35.0;227;2479;300;8.263333333333334
35.0;226;2541;300;8.47
35.0;225;2558;300;8.526666666666667
35.0;224;2508;300;8.36
35.0;223;2489;300;8.296666666666667
35.0;222;2486;300;8.286666666666667
35.0;221;2488;300;8.293333333333333
35.0;220;2463;300;8.21
35.0;219;2545;300;8.483333333333333
35.0;218;2591;300;8.636666666666667
35.0;217;2606;300;8.686666666666667
35.0;216;2548;300;8.493333333333334
35.0;215;2539;300;8.463333333333333
35.0;214;2505;300;8.35
35.0;213;2435;300;8.116666666666667
35.0;212;2508;300;8.36
35.0;211;2471;300;8.236666666666666
35.0;210;2466;300;8.22
35.0;209;2460;300;8.2
35.0;208;2476;300;8.253333333333334
35.0;207;2428;300;8.093333333333334
35.0;206;2489;300;8.296666666666667
35.0;205;2494;300;8.313333333333333
35.0;204;2368;300;7.8933333333333335
35.0;203;2484;300;8.28
35.0;202;2489;300;8.296666666666667
35.0;201;2362;300;7.873333333333333
35.0;200;2405;300;8.016666666666667
35.0;199;2378;300;7.926666666666667
35.0;198;2403;300;8.01
35.0;197;2317;300;7.723333333333334
35.0;196;2299;300;7.663333333333333
35.0;195;2317;300;7.723333333333334
35.0;194;2285;300;7.616666666666666
35.0;193;2244;300;7.48
35.0;192;2321;300;7.736666666666666
35.0;191;2305;300;7.683333333333334
35.0;190;2316;300;7.72
35.0;189;2276;300;7.586666666666667
35.0;188;2287;300;7.623333333333333
35.0;187;2178;300;7.26
35.0;186;2285;300;7.616666666666666
35.0;185;2115;300;7.05
35.0;184;2055;300;6.85
35.0;183;2046;300;6.82
35.0;182;1961;300;6.536666666666667
35.0;181;1875;300;6.25
35.0;180;1984;300;6.613333333333333
35.0;179;1775;300;5.916666666666667
35.0;178;1710;300;5.7
35.0;177;1555;300;5.183333333333334
35.0;176;1529;300;5.096666666666667
35.0;175;1313;300;4.376666666666667
35.0;174;1298;300;4.326666666666667
35.0;173;1110;300;3.7
35.0;172;1065;300;3.55
35.0;171;924;300;3.08
35.0;170;845;300;2.816666666666667
35.0;169;727;300;2.4233333333333333
35.0;168;661;300;2.203333333333333
35.0;167;621;300;2.07
35.0;166;494;300;1.6466666666666667
35.0;165;443;300;1.4766666666666666
35.0;164;377;300;1.2566666666666666
35.0;163;323;300;1.0766666666666667
35.0;162;270;300;0.9
35.0;161;217;300;0.7233333333333334
35.0;160;174;300;0.58
35.0;159;133;300;0.44333333333333336
35.0;158;117;300;0.39
35.0;157;81;300;0.27
35.0;156;68;300;0.22666666666666666
35.0;155;48;300;0.16
35.0;154;44;300;0.14666666666666667
35.0;153;29;300;0.09666666666666666
35.0;152;15;300;0.05
35.0;151;15;300;0.05
35.0;150;11;300;0.03666666666666667
35.0;149;7;300;0.023333333333333334
35.0;148;5;300;0.016666666666666666
35.0;147;5;300;0.016666666666666666
35.0;146;3;300;0.01
35.0;145;1;300;0.0033333333333333335
35.0;144;0;300;0.0
35.0;143;1;300;0.0033333333333333335
35.0;142;1;300;0.0033333333333333335
35.0;141;0;300;0.0
35.0;140;0;300;0.0
