Gap;Threshold;Total Hits;Measurement Time (s);hit rate
30.5;246;3589;300;11.963333333333333
30.5;245;3555;300;11.85
30.5;244;3435;300;11.45
30.5;243;3431;300;11.436666666666667
30.5;242;3505;300;11.683333333333334
30.5;241;3351;300;11.17
30.5;240;3404;300;11.346666666666666
30.5;239;3473;300;11.576666666666666
30.5;238;3444;300;11.48
30.5;237;3528;300;11.76
30.5;236;3482;300;11.606666666666667
30.5;235;3438;300;11.46
30.5;234;3420;300;11.4
30.5;233;3446;300;11.486666666666666
30.5;232;3337;300;11.123333333333333
30.5;231;3391;300;11.303333333333333
30.5;230;3454;300;11.513333333333334
30.5;229;3412;300;11.373333333333333
30.5;228;3466;300;11.553333333333333
30.5;227;3357;300;11.19
30.5;226;3444;300;11.48
30.5;225;3572;300;11.906666666666666
30.5;224;3436;300;11.453333333333333
30.5;223;3372;300;11.24
30.5;222;3442;300;11.473333333333333
30.5;221;3415;300;11.383333333333333
30.5;220;3457;300;11.523333333333333
30.5;219;3420;300;11.4
30.5;218;3443;300;11.476666666666667
30.5;217;3386;300;11.286666666666667
30.5;216;3328;300;11.093333333333334
30.5;215;3369;300;11.23
30.5;214;3458;300;11.526666666666667
30.5;213;3440;300;11.466666666666667
30.5;212;3460;300;11.533333333333333
30.5;211;3292;300;10.973333333333333
30.5;210;3403;300;11.343333333333334
30.5;209;3448;300;11.493333333333334
30.5;208;3415;300;11.383333333333333
30.5;207;3282;300;10.94
30.5;206;3325;300;11.083333333333334
30.5;205;3372;300;11.24
30.5;204;3318;300;11.06
30.5;203;3397;300;11.323333333333334
30.5;202;3397;300;11.323333333333334
30.5;201;3380;300;11.266666666666667
30.5;200;3355;300;11.183333333333334
30.5;199;3447;300;11.49
30.5;198;3438;300;11.46
30.5;197;3248;300;10.826666666666666
30.5;196;3474;300;11.58
30.5;195;3450;300;11.5
30.5;194;3310;300;11.033333333333333
30.5;193;3432;300;11.44
30.5;192;3301;300;11.003333333333334
30.5;191;3361;300;11.203333333333333
30.5;190;3336;300;11.12
30.5;189;3382;300;11.273333333333333
30.5;188;3327;300;11.09
30.5;187;3388;300;11.293333333333333
30.5;186;3374;300;11.246666666666666
30.5;185;3265;300;10.883333333333333
30.5;184;3421;300;11.403333333333334
30.5;183;3375;300;11.25
30.5;182;3362;300;11.206666666666667
30.5;181;3347;300;11.156666666666666
30.5;180;3375;300;11.25
30.5;179;3386;300;11.286666666666667
30.5;178;3388;300;11.293333333333333
30.5;177;3342;300;11.14
30.5;176;3353;300;11.176666666666666
30.5;175;3357;300;11.19
30.5;174;3374;300;11.246666666666666
30.5;173;3304;300;11.013333333333334
30.5;172;3455;300;11.516666666666667
30.5;171;3456;300;11.52
30.5;170;3429;300;11.43
30.5;169;3382;300;11.273333333333333
30.5;168;3463;300;11.543333333333333
30.5;167;3436;300;11.453333333333333
30.5;166;3459;300;11.53
30.5;165;3347;300;11.156666666666666
30.5;164;3458;300;11.526666666666667
30.5;163;3379;300;11.263333333333334
30.5;162;3309;300;11.03
30.5;161;3279;300;10.93
30.5;160;3378;300;11.26
30.5;159;3422;300;11.406666666666666
30.5;158;3346;300;11.153333333333334
30.5;157;3363;300;11.21
30.5;156;3292;300;10.973333333333333
30.5;155;3292;300;10.973333333333333
30.5;154;3420;300;11.4
30.5;153;3353;300;11.176666666666666
30.5;152;3363;300;11.21
30.5;151;3297;300;10.99
30.5;150;3297;300;10.99
30.5;149;3447;300;11.49
30.5;148;3236;300;10.786666666666667
30.5;147;3279;300;10.93
30.5;146;3293;300;10.976666666666667
30.5;145;3341;300;11.136666666666667
30.5;144;3386;300;11.286666666666667
30.5;143;3232;300;10.773333333333333
30.5;142;3269;300;10.896666666666667
30.5;141;3328;300;11.093333333333334
30.5;140;3339;300;11.13
30.5;139;3243;300;10.81
30.5;138;3340;300;11.133333333333333
30.5;137;3301;300;11.003333333333334
30.5;136;3209;300;10.696666666666667
30.5;135;3337;300;11.123333333333333
30.5;134;3292;300;10.973333333333333
30.5;133;3276;300;10.92
30.5;132;3268;300;10.893333333333333
30.5;131;3227;300;10.756666666666666
30.5;130;3246;300;10.82
30.5;129;3239;300;10.796666666666667
30.5;128;3291;300;10.97
30.5;127;3285;300;10.95
30.5;126;3160;300;10.533333333333333
30.5;125;3240;300;10.8
30.5;124;3267;300;10.89
30.5;123;3239;300;10.796666666666667
30.5;122;3268;300;10.893333333333333
30.5;121;3308;300;11.026666666666667
30.5;120;3143;300;10.476666666666667
30.5;119;3193;300;10.643333333333333
30.5;118;3243;300;10.81
30.5;117;3289;300;10.963333333333333
30.5;116;3226;300;10.753333333333334
30.5;115;3226;300;10.753333333333334
30.5;114;3214;300;10.713333333333333
30.5;113;3189;300;10.63
30.5;112;3168;300;10.56
30.5;111;3214;300;10.713333333333333
30.5;110;3170;300;10.566666666666666
30.5;109;3237;300;10.79
30.5;108;3077;300;10.256666666666666
30.5;107;3054;300;10.18
30.5;106;2986;300;9.953333333333333
30.5;105;3106;300;10.353333333333333
30.5;104;2956;300;9.853333333333333
30.5;103;2915;300;9.716666666666667
30.5;102;2756;300;9.186666666666667
30.5;101;2720;300;9.066666666666666
30.5;100;2755;300;9.183333333333334
