Gap;Threshold;Total Hits;Measurement Time (s);hit rate
33.0;246;2918;300;9.726666666666667
33.0;245;2785;300;9.283333333333333
33.0;244;2830;300;9.433333333333334
33.0;243;2797;300;9.323333333333334
33.0;242;2823;300;9.41
33.0;241;2957;300;9.856666666666667
33.0;240;2868;300;9.56
33.0;239;2918;300;9.726666666666667
33.0;238;2929;300;9.763333333333334
33.0;237;2830;300;9.433333333333334
33.0;236;2862;300;9.54
33.0;235;2815;300;9.383333333333333
33.0;234;2865;300;9.55
33.0;233;2842;300;9.473333333333333
33.0;232;2908;300;9.693333333333333
33.0;231;2817;300;9.39
33.0;230;2792;300;9.306666666666667
33.0;229;2974;300;9.913333333333334
33.0;228;2881;300;9.603333333333333
33.0;227;2866;300;9.553333333333333
33.0;226;2902;300;9.673333333333334
33.0;225;2914;300;9.713333333333333
33.0;224;2877;300;9.59
33.0;223;2889;300;9.63
33.0;222;2887;300;9.623333333333333
33.0;221;2828;300;9.426666666666666
33.0;220;2908;300;9.693333333333333
33.0;219;3062;300;10.206666666666667
33.0;218;2799;300;9.33
33.0;217;2878;300;9.593333333333334
33.0;216;2795;300;9.316666666666666
33.0;215;2953;300;9.843333333333334
33.0;214;2840;300;9.466666666666667
33.0;213;2944;300;9.813333333333333
33.0;212;2871;300;9.57
33.0;211;2864;300;9.546666666666667
33.0;210;2818;300;9.393333333333333
33.0;209;2824;300;9.413333333333334
33.0;208;2847;300;9.49
33.0;207;2870;300;9.566666666666666
33.0;206;2924;300;9.746666666666666
33.0;205;2870;300;9.566666666666666
33.0;204;2856;300;9.52
33.0;203;2910;300;9.7
33.0;202;2829;300;9.43
33.0;201;2889;300;9.63
33.0;200;2887;300;9.623333333333333
33.0;199;2817;300;9.39
33.0;198;2883;300;9.61
33.0;197;2901;300;9.67
33.0;196;2778;300;9.26
33.0;195;2913;300;9.71
33.0;194;2856;300;9.52
33.0;193;2722;300;9.073333333333334
33.0;192;2876;300;9.586666666666666
33.0;191;2821;300;9.403333333333334
33.0;190;2894;300;9.646666666666667
33.0;189;2894;300;9.646666666666667
33.0;188;2907;300;9.69
33.0;187;2750;300;9.166666666666666
33.0;186;2788;300;9.293333333333333
33.0;185;2743;300;9.143333333333333
33.0;184;2885;300;9.616666666666667
33.0;183;2923;300;9.743333333333334
33.0;182;2911;300;9.703333333333333
33.0;181;2851;300;9.503333333333334
33.0;180;2776;300;9.253333333333334
33.0;179;2794;300;9.313333333333333
33.0;178;2815;300;9.383333333333333
33.0;177;2826;300;9.42
33.0;176;2897;300;9.656666666666666
33.0;175;2897;300;9.656666666666666
33.0;174;2819;300;9.396666666666667
33.0;173;2767;300;9.223333333333333
33.0;172;2825;300;9.416666666666666
33.0;171;2702;300;9.006666666666666
33.0;170;2746;300;9.153333333333334
33.0;169;2813;300;9.376666666666667
33.0;168;2809;300;9.363333333333333
33.0;167;2682;300;8.94
33.0;166;2809;300;9.363333333333333
33.0;165;2796;300;9.32
33.0;164;2708;300;9.026666666666667
33.0;163;2752;300;9.173333333333334
33.0;162;2709;300;9.03
33.0;161;2726;300;9.086666666666666
33.0;160;2703;300;9.01
33.0;159;2783;300;9.276666666666667
33.0;158;2686;300;8.953333333333333
33.0;157;2629;300;8.763333333333334
33.0;156;2753;300;9.176666666666666
33.0;155;2745;300;9.15
33.0;154;2676;300;8.92
33.0;153;2627;300;8.756666666666666
33.0;152;2620;300;8.733333333333333
33.0;151;2572;300;8.573333333333334
33.0;150;2482;300;8.273333333333333
33.0;149;2390;300;7.966666666666667
33.0;148;2444;300;8.146666666666667
33.0;147;2509;300;8.363333333333333
33.0;146;2294;300;7.6466666666666665
33.0;145;2313;300;7.71
33.0;144;2072;300;6.906666666666666
33.0;143;2064;300;6.88
33.0;142;2027;300;6.756666666666667
33.0;141;1806;300;6.02
33.0;140;1806;300;6.02
33.0;139;1625;300;5.416666666666667
33.0;138;1559;300;5.196666666666666
33.0;137;1358;300;4.526666666666666
33.0;136;1288;300;4.293333333333333
33.0;135;1190;300;3.966666666666667
33.0;134;1115;300;3.716666666666667
33.0;133;985;300;3.283333333333333
33.0;132;808;300;2.6933333333333334
33.0;131;715;300;2.3833333333333333
33.0;130;667;300;2.223333333333333
33.0;129;489;300;1.63
33.0;128;437;300;1.4566666666666668
33.0;127;640;300;2.1333333333333333
33.0;126;535;300;1.7833333333333334
33.0;125;449;300;1.4966666666666666
33.0;124;362;300;1.2066666666666668
33.0;123;345;300;1.15
33.0;122;254;300;0.8466666666666667
33.0;121;169;300;0.5633333333333334
33.0;120;165;300;0.55
33.0;119;146;300;0.4866666666666667
33.0;118;107;300;0.3566666666666667
33.0;117;57;300;0.19
33.0;116;52;300;0.17333333333333334
33.0;115;46;300;0.15333333333333332
33.0;114;29;300;0.09666666666666666
33.0;113;26;300;0.08666666666666667
33.0;112;20;300;0.06666666666666667
33.0;111;5;300;0.016666666666666666
33.0;110;9;300;0.03
33.0;109;5;300;0.016666666666666666
33.0;108;3;300;0.01
33.0;107;1;300;0.0033333333333333335
33.0;106;1;300;0.0033333333333333335
33.0;105;2;300;0.006666666666666667
33.0;104;0;300;0.0
33.0;103;1;300;0.0033333333333333335
33.0;102;0;300;0.0
33.0;101;0;300;0.0
