Gap;Threshold;Total Hits;Measurement Time (s);hit rate
32.0;246;3215;300;10.716666666666667
32.0;245;3031;300;10.103333333333333
32.0;244;3185;300;10.616666666666667
32.0;243;3137;300;10.456666666666667
32.0;242;3193;300;10.643333333333333
32.0;241;3113;300;10.376666666666667
32.0;240;3129;300;10.43
32.0;239;3168;300;10.56
32.0;238;3037;300;10.123333333333333
32.0;237;3178;300;10.593333333333334
32.0;236;2980;300;9.933333333333334
32.0;235;3147;300;10.49
32.0;234;3073;300;10.243333333333334
32.0;233;3007;300;10.023333333333333
32.0;232;3147;300;10.49
32.0;231;3112;300;10.373333333333333
32.0;230;3042;300;10.14
32.0;229;3073;300;10.243333333333334
32.0;228;2990;300;9.966666666666667
32.0;227;3019;300;10.063333333333333
32.0;226;3148;300;10.493333333333334
32.0;225;3065;300;10.216666666666667
32.0;224;3021;300;10.07
32.0;223;3066;300;10.22
32.0;222;3063;300;10.21
32.0;221;3020;300;10.066666666666666
32.0;220;2980;300;9.933333333333334
32.0;219;3016;300;10.053333333333333
32.0;218;3074;300;10.246666666666666
32.0;217;3092;300;10.306666666666667
32.0;216;3136;300;10.453333333333333
32.0;215;3069;300;10.23
32.0;214;3219;300;10.73
32.0;213;3132;300;10.44
32.0;212;3170;300;10.566666666666666
32.0;211;3043;300;10.143333333333333
32.0;210;3096;300;10.32
32.0;209;3083;300;10.276666666666667
32.0;208;2963;300;9.876666666666667
32.0;207;3107;300;10.356666666666667
32.0;206;3051;300;10.17
32.0;205;3047;300;10.156666666666666
32.0;204;3121;300;10.403333333333334
32.0;203;3034;300;10.113333333333333
32.0;202;3010;300;10.033333333333333
32.0;201;3131;300;10.436666666666667
32.0;200;3060;300;10.2
32.0;199;3024;300;10.08
32.0;198;2953;300;9.843333333333334
32.0;197;3011;300;10.036666666666667
32.0;196;2977;300;9.923333333333334
32.0;195;3061;300;10.203333333333333
32.0;194;3044;300;10.146666666666667
32.0;193;3115;300;10.383333333333333
32.0;192;3098;300;10.326666666666666
32.0;191;3060;300;10.2
32.0;190;3014;300;10.046666666666667
32.0;189;3118;300;10.393333333333333
32.0;188;2996;300;9.986666666666666
32.0;187;3091;300;10.303333333333333
32.0;186;3024;300;10.08
32.0;185;3142;300;10.473333333333333
32.0;184;3103;300;10.343333333333334
32.0;183;3018;300;10.06
32.0;182;3007;300;10.023333333333333
32.0;181;2942;300;9.806666666666667
32.0;180;3035;300;10.116666666666667
32.0;179;3048;300;10.16
32.0;178;3175;300;10.583333333333334
32.0;177;2933;300;9.776666666666667
32.0;176;3011;300;10.036666666666667
32.0;175;3059;300;10.196666666666667
32.0;174;3072;300;10.24
32.0;173;3164;300;10.546666666666667
32.0;172;2996;300;9.986666666666666
32.0;171;3106;300;10.353333333333333
32.0;170;3023;300;10.076666666666666
32.0;169;2985;300;9.95
32.0;168;3022;300;10.073333333333334
32.0;167;3013;300;10.043333333333333
32.0;166;2971;300;9.903333333333334
32.0;165;3050;300;10.166666666666666
32.0;164;2959;300;9.863333333333333
32.0;163;3003;300;10.01
32.0;162;3010;300;10.033333333333333
32.0;161;3074;300;10.246666666666666
32.0;160;3049;300;10.163333333333334
32.0;159;2966;300;9.886666666666667
32.0;158;2939;300;9.796666666666667
32.0;157;3060;300;10.2
32.0;156;2938;300;9.793333333333333
32.0;155;3035;300;10.116666666666667
32.0;154;2958;300;9.86
32.0;153;2982;300;9.94
32.0;152;2952;300;9.84
32.0;151;3050;300;10.166666666666666
32.0;150;2956;300;9.853333333333333
32.0;149;3018;300;10.06
32.0;148;3041;300;10.136666666666667
32.0;147;2950;300;9.833333333333334
32.0;146;2934;300;9.78
32.0;145;2913;300;9.71
32.0;144;2956;300;9.853333333333333
32.0;143;2961;300;9.87
32.0;142;2963;300;9.876666666666667
32.0;141;2913;300;9.71
32.0;140;2893;300;9.643333333333333
32.0;139;2968;300;9.893333333333333
32.0;138;2922;300;9.74
32.0;137;2949;300;9.83
32.0;136;2846;300;9.486666666666666
32.0;135;2929;300;9.763333333333334
32.0;134;2864;300;9.546666666666667
32.0;133;2859;300;9.53
32.0;132;2793;300;9.31
32.0;131;2735;300;9.116666666666667
32.0;130;2739;300;9.13
32.0;129;2742;300;9.14
32.0;128;2630;300;8.766666666666667
32.0;127;2775;300;9.25
32.0;126;2738;300;9.126666666666667
32.0;125;2618;300;8.726666666666667
32.0;124;2695;300;8.983333333333333
32.0;123;2544;300;8.48
32.0;122;2588;300;8.626666666666667
32.0;121;2389;300;7.963333333333333
32.0;120;2411;300;8.036666666666667
32.0;119;2344;300;7.8133333333333335
32.0;118;2316;300;7.72
32.0;117;2156;300;7.1866666666666665
32.0;116;2154;300;7.18
32.0;115;1945;300;6.483333333333333
32.0;114;1791;300;5.97
32.0;113;1762;300;5.873333333333333
32.0;112;1502;300;5.006666666666667
32.0;111;1326;300;4.42
32.0;110;1205;300;4.016666666666667
32.0;109;988;300;3.2933333333333334
32.0;108;934;300;3.1133333333333333
32.0;107;789;300;2.63
32.0;106;673;300;2.243333333333333
32.0;105;565;300;1.8833333333333333
32.0;104;477;300;1.59
32.0;103;388;300;1.2933333333333332
32.0;102;342;300;1.14
32.0;101;238;300;0.7933333333333333
32.0;100;227;300;0.7566666666666667
