Gap;Threshold;Total Hits;Measurement Time (s);hit rate
36.5;246;2399;300;7.996666666666667
36.5;245;2258;300;7.526666666666666
36.5;244;2349;300;7.83
36.5;243;2360;300;7.866666666666666
36.5;242;2272;300;7.573333333333333
36.5;241;2351;300;7.836666666666667
36.5;240;2239;300;7.463333333333333
36.5;239;2311;300;7.703333333333333
36.5;238;2326;300;7.753333333333333
36.5;237;2355;300;7.85
36.5;236;2267;300;7.556666666666667
36.5;235;2182;300;7.273333333333333
36.5;234;2352;300;7.84
36.5;233;2274;300;7.58
36.5;232;2310;300;7.7
36.5;231;2181;300;7.27
36.5;230;2216;300;7.386666666666667
36.5;229;2208;300;7.36
36.5;228;2143;300;7.1433333333333335
36.5;227;2209;300;7.363333333333333
36.5;226;2175;300;7.25
36.5;225;2146;300;7.153333333333333
36.5;224;2221;300;7.403333333333333
36.5;223;2188;300;7.293333333333333
36.5;222;2150;300;7.166666666666667
36.5;221;2106;300;7.02
36.5;220;2123;300;7.076666666666667
36.5;219;2073;300;6.91
36.5;218;1970;300;6.566666666666666
36.5;217;2074;300;6.913333333333333
36.5;216;2003;300;6.676666666666667
36.5;215;1916;300;6.386666666666667
36.5;214;1873;300;6.243333333333333
36.5;213;1778;300;5.926666666666667
36.5;212;1756;300;5.8533333333333335
36.5;211;1699;300;5.663333333333333
36.5;210;1682;300;5.6066666666666665
36.5;209;1539;300;5.13
36.5;208;1493;300;4.976666666666667
36.5;207;1371;300;4.57
36.5;206;1281;300;4.27
36.5;205;1117;300;3.723333333333333
36.5;204;1079;300;3.5966666666666667
36.5;203;959;300;3.1966666666666668
36.5;202;965;300;3.216666666666667
36.5;201;780;300;2.6
36.5;200;627;300;2.09
36.5;199;669;300;2.23
36.5;198;595;300;1.9833333333333334
36.5;197;471;300;1.57
36.5;196;483;300;1.61
36.5;195;383;300;1.2766666666666666
36.5;194;361;300;1.2033333333333334
36.5;193;244;300;0.8133333333333334
36.5;192;234;300;0.78
36.5;191;351;300;1.17
36.5;190;338;300;1.1266666666666667
36.5;189;248;300;0.8266666666666667
36.5;188;211;300;0.7033333333333334
36.5;187;162;300;0.54
36.5;186;150;300;0.5
36.5;185;97;300;0.3233333333333333
36.5;184;100;300;0.3333333333333333
36.5;183;65;300;0.21666666666666667
36.5;182;69;300;0.23
36.5;181;49;300;0.16333333333333333
36.5;180;28;300;0.09333333333333334
36.5;179;31;300;0.10333333333333333
36.5;178;20;300;0.06666666666666667
36.5;177;13;300;0.043333333333333335
36.5;176;3;300;0.01
36.5;175;2;300;0.006666666666666667
36.5;174;7;300;0.023333333333333334
36.5;173;1;300;0.0033333333333333335
36.5;172;1;300;0.0033333333333333335
36.5;171;1;300;0.0033333333333333335
36.5;170;0;300;0.0
36.5;169;0;300;0.0
