Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
34.0;255;1301665;6847933;876;12805.660946456448;67369.33710443958;8.618007697138548;101.64762330055237
34.0;254;5619460;1274745;883;55229.29585317977;12528.47582194048;8.678319311527751;101.747811794281
34.0;253;1644002;236744;883;16169.539897012504;2328.4895963498393;8.684724063025495;101.67277550697327
34.0;252;403575;33208;862;3967.3578220362774;326.4523782547995;8.47392044253304;101.72387218475342
34.0;251;55232;3553;934;543.1700060971039;34.94139324418833;9.18526915003431;101.6845543384552
34.0;250;13168;1301;857;129.33859801716065;12.778669199599484;8.417616836323411;101.81028866767883
34.0;249;3619;963;870;35.599334333681355;9.472826461269728;8.558005214231219;101.65920424461365
34.0;248;1352;934;905;13.283628907304804;9.176708135667667;8.891778225673704;101.77941656112671
34.0;247;984;953;937;9.664952853593924;9.36046755027948;9.203313845342995;101.81115365028381
34.0;246;928;922;911;9.119079202517849;9.060119638708466;8.952027105057931;101.76466059684753
34.0;245;852;849;841;8.379653435459005;8.350147613503164;8.27146542162092;101.67484927177429
34.0;244;854;857;852;8.39141910574839;8.42089715881308;8.37176707037193;101.77062892913818
34.0;243;938;934;926;9.221278388694287;9.181955239915206;9.103308942357048;101.72125387191772
34.0;242;917;915;906;9.018926153343067;8.999255649191827;8.910738380511253;101.67507576942444
34.0;241;945;945;940;9.288965658942573;9.288965658942573;9.239817692493142;101.73360896110535
34.0;240;858;860;848;8.43472125023841;8.45438260513407;8.336414475760106;101.72238945960999
34.0;239;887;887;881;8.718599542048201;8.718599542048201;8.659623671414279;101.73652267456055
34.0;238;901;895;884;8.858534599576723;8.799543248192196;8.691392437320559;101.70982456207275
34.0;237;883;885;881;8.675879700194942;8.695530616843175;8.656228783546709;101.77642273902893
34.0;236;868;866;858;8.535440188186618;8.515773275310611;8.437105623806588;101.69364213943481
34.0;235;905;907;896;8.895240293361342;8.91489828295993;8.806779340167692;101.73980355262756
34.0;234;879;872;868;8.638510355550498;8.569716757724727;8.530406130395713;101.75365471839905
34.0;233;854;852;839;8.392501255781616;8.372846686095945;8.245091983139082;101.75750637054443
34.0;232;905;903;900;8.893660859084719;8.87400635994862;8.844524611244472;101.75787162780762
34.0;231;957;955;945;9.400735748787486;9.381089488079466;9.282858184539366;101.80054259300232
34.0;230;875;877;874;8.602097591023309;8.621759528374218;8.592266622347854;101.71937608718872
34.0;229;931;930;920;9.149662092193756;9.139834313362185;9.041556525046461;101.75239157676697
34.0;228;907;906;906;8.910635737913895;8.900811442723251;8.900811442723251;101.78847241401672
34.0;227;862;865;857;8.470645335319917;8.500125539503165;8.421511661681171;101.76320290565491
34.0;226;907;909;905;8.917069710917243;8.936732488670092;8.897406933164394;101.7150285243988
34.0;225;879;878;874;8.644669665374627;8.634835001363962;8.595496345321303;101.68115544319153
34.0;224;912;917;907;8.96303862994758;9.012178096120538;8.913899163774621;101.75120711326599
34.0;223;887;889;884;8.719192946856426;8.738852908405143;8.689703004533348;101.72959876060486
34.0;222;872;876;866;8.573334532317253;8.612661754942561;8.514343698379289;101.71071672439575
34.0;221;885;885;883;8.7012068901689;8.7012068901689;8.681543145784337;101.71002840995789
34.0;220;858;853;844;8.439685824546027;8.390503506221167;8.301975333236419;101.66255211830139
34.0;219;911;914;914;8.95271719718233;8.982199251618717;8.982199251618717;101.75681638717651
34.0;218;862;861;858;8.478834384940342;8.468998150155029;8.439489445799088;101.66491770744324
34.0;217;882;878;876;8.664486020796588;8.625191299613837;8.60554393902246;101.79484367370605
34.0;216;810;812;801;7.957153382451252;7.9768006747536;7.868740567090683;101.79519748687744
34.0;215;903;904;893;8.877588650192186;8.887419866859066;8.779276483523391;101.71681022644043
34.0;214;884;886;882;8.693133684929755;8.712801408198828;8.673465961660684;101.6894519329071
34.0;213;927;929;921;9.113679821794046;9.133342561431142;9.054691602882757;101.71522569656372
34.0;212;867;867;859;8.527184424814978;8.527184424814978;8.448502215589466;101.67482686042786
34.0;211;879;878;874;8.63757844550699;8.627751848868188;8.588445462312981;101.76463294029236
34.0;210;799;792;786;7.858401585982016;7.789554513263776;7.730542736648141;101.67462062835693
34.0;209;909;910;897;8.93681826980799;8.946649753053103;8.81884047086663;101.71405220031738
34.0;208;896;893;895;8.805418581594978;8.775936153308388;8.795591105499447;101.75552606582642
34.0;207;906;906;890;8.910133912577319;8.910133912577319;8.752780554297807;101.68197345733643
34.0;206;899;902;896;8.83867237128548;8.868167384760293;8.809177357810666;101.71210813522339
34.0;205;919;917;910;9.041681237123843;9.022004020068078;8.953133760372902;101.64038920402527
34.0;204;917;919;913;9.014996056729903;9.034657989241854;8.975672191705998;101.71940112113953
34.0;203;887;889;872;8.72425883975794;8.743930223838568;8.576723459153241;101.6705276966095
34.0;202;896;897;888;8.802747687308356;8.812572182495083;8.724151725814531;101.78640031814575
34.0;201;838;836;834;8.237770934275854;8.218110383120065;8.198449831964275;101.72654795646667
34.0;200;903;900;882;8.88135489343511;8.851848730998448;8.67481175637848;101.67367601394653
34.0;199;867;864;858;8.519532600171447;8.490053248613759;8.431094545498386;101.76614618301392
34.0;198;890;890;882;8.751742641407635;8.751742641407635;8.673075291821949;101.6940324306488
34.0;197;893;893;884;8.775330547741909;8.775330547741909;8.686889366409684;101.76254844665527
34.0;196;865;864;858;8.506771660877257;8.496937242772198;8.437930734141835;101.68369793891907
34.0;195;800;805;794;7.863080287104235;7.912224538898636;7.8041071849509525;101.74129867553711
34.0;194;875;874;865;8.596767031899152;8.586942155291267;8.498518265820303;101.78244876861572
34.0;193;888;887;880;8.723075754140106;8.713252470633194;8.64448948608479;101.79895544052124
34.0;192;872;870;861;8.571615269161155;8.55195560111262;8.463487094894214;101.73111748695374
34.0;191;888;890;874;8.72951969113472;8.749180771520159;8.591892128436651;101.7238097190857
34.0;190;944;944;930;9.277458106886822;9.277458106886822;9.13986868581011;101.75200891494751
34.0;189;881;884;865;8.661152263219769;8.690645403730166;8.503855513830988;101.71856737136841
34.0;188;886;881;871;8.72084069039812;8.671626013815738;8.573196660650975;101.59570980072021
34.0;187;863;868;850;8.489018789811489;8.538201980945969;8.361142492861836;101.66074800491333
34.0;186;874;876;862;8.593479138401474;8.613143850388662;8.47549086647834;101.70502376556396
