Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
39.0;255;3486863;8084496;465;34293.91713600462;79512.45457890395;4.573357619224543;101.67584490776062
39.0;254;5787774;1436061;379;56897.21764385087;14117.323044549792;3.725792590902734;101.72332215309143
39.0;253;1745732;295216;337;17175.320007075767;2904.4717466420275;3.315562092225229;101.64189076423645
39.0;252;418034;39994;314;4107.702543629861;392.99065513793767;3.0854394587516234;101.76832318305969
39.0;251;56638;3868;253;556.5205726881032;38.006666463462395;2.4859582769534607;101.77161955833435
39.0;250;12777;1489;234;125.52411996662057;14.628270691891526;2.298868597651187;101.78920197486877
39.0;249;3590;1041;260;35.25989344802134;10.22438693019226;2.5536413082132445;101.81539559364319
39.0;248;1442;847;210;14.180306394764512;8.329209095953912;2.065093164286094;101.69032740592957
39.0;247;866;727;167;8.5155292095799;7.148717939220076;1.6421401593531675;101.69655680656433
39.0;246;788;688;150;7.747347411256621;6.764181496122532;1.4747488727011333;101.7122323513031
39.0;245;703;635;142;6.912112138954782;6.243515232199554;1.3961876582241524;101.70552587509155
39.0;244;655;611;123;6.4451421261424935;6.012186013852006;1.2103091320847736;101.62692880630493
39.0;243;636;599;103;6.255688246718448;5.891756697774135;1.0131067443584907;101.66747045516968
39.0;242;654;625;112;6.433062112466216;6.147804006561751;1.1016864779758657;101.6623170375824
39.0;241;576;541;90;5.661190753575906;5.317194787646815;0.8845610552462354;101.74537920951843
39.0;240;606;581;74;5.961741754228122;5.715795312222011;0.7280014683380874;101.6481466293335
39.0;239;534;478;65;5.245939898290721;4.695803878994316;0.6385507366833274;101.7930076122284
39.0;238;505;468;41;4.963117250099447;4.599482916923844;0.40294615297837094;101.750568151474
39.0;237;510;453;34;5.01862057777818;4.457715924967678;0.33457470518521204;101.62154960632324
39.0;236;521;441;31;5.125380732779872;4.338374094349182;0.30496507239189263;101.6509850025177
39.0;235;443;381;26;4.355166570067058;3.7456398717732484;0.2556079702522427;101.71826791763306
39.0;234;460;385;41;4.52483702993836;3.7870918620136274;0.4033006917988538;101.66111993789673
39.0;233;453;357;22;4.454736489994698;3.5106863729097286;0.21634481849863874;101.68951654434204
39.0;232;376;301;21;3.696139446093537;2.958877588495092;0.20643332012756455;101.72776365280151
39.0;231;321;261;15;3.1556780075926083;2.565831651033242;0.1474615891398415;101.7214047908783
39.0;230;278;220;11;2.731392083947055;2.1615333038429934;0.10807666519214967;101.77960228919983
39.0;229;272;217;8;2.672193564276833;2.131860306794385;0.07859392836108332;101.78903341293335
39.0;228;255;203;7;2.508745539363621;1.997158213689471;0.06886752460998176;101.64442586898804
39.0;227;200;156;5;1.9657854531579324;1.5333126534631871;0.04914463632894831;101.74050259590149
39.0;226;158;118;2;1.5538855924998656;1.160496834904963;0.019669437879745136;101.68058753013611
39.0;225;147;96;5;1.4447470931984394;0.9435083057622461;0.04914105759178365;101.74791193008423
39.0;224;120;79;0;1.1796471198726566;0.7766010205828323;0.0;101.72533631324768
39.0;223;108;92;2;1.0618199599221974;0.904513299192983;0.019663332591151803;101.71215844154358
39.0;222;92;81;1;0.9041309953762922;0.7960283763639093;0.009827510819307524;101.75516653060913
39.0;221;84;76;2;0.8255998210683284;0.7469712666808686;0.01965713859686496;101.74420809745789
39.0;220;66;51;0;0.649105700610096;0.5015816777441651;0.0;101.67835521697998
39.0;219;58;49;0;0.5702754712012819;0.4817844498079795;0.0;101.70523357391357
39.0;218;34;27;0;0.3340936147754091;0.26530963526282486;0.0;101.76788330078125
39.0;217;24;20;0;0.23567525613351872;0.19639604677793226;0.0;101.83504366874695
39.0;216;22;18;0;0.21616127817159347;0.1768592275949401;0.0;101.77586007118225
39.0;215;18;14;1;0.17685086021756702;0.13755066905810767;0.009825047789864833;101.78067541122437
39.0;214;21;20;0;0.20648939174869316;0.19665656357018396;0.0;101.70013976097107
39.0;213;8;7;0;0.07863681082055583;0.06880720946798635;0.0;101.73352551460266
39.0;212;4;4;0;0.03934276345603208;0.03934276345603208;0.0;101.67053985595703
39.0;211;7;7;0;0.0687231082365721;0.0687231082365721;0.0;101.85802388191223
39.0;210;3;3;0;0.029487836704887457;0.029487836704887457;0.0;101.73686289787292
39.0;209;1;1;0;0.009833618005397182;0.009833618005397182;0.0;101.69197130203247
39.0;208;3;1;0;0.029518974818517327;0.009839658272839108;0.0;101.62954568862915
39.0;207;0;0;0;0.0;0.0;0.0;101.70210886001587
39.0;206;1;0;0;0.009840253006897318;0.0;0.0;101.62340331077576
39.0;205;0;0;0;0.0;0.0;0.0;101.68626928329468
39.0;204;0;0;0;0.0;0.0;0.0;101.77953553199768
