Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
32.5;255;16010744;5496117;1043;157398.05845996234;54031.102169192935;10.253500710131942;101.72135639190674
32.5;254;5042620;1022253;1020;49546.14086405545;10044.122130301961;10.021985333286379;101.77624154090881
32.5;253;1479375;186823;985;14544.346954032408;1836.7341147398033;9.683942036144941;101.7147765159607
32.5;252;371318;29163;1011;3650.1428681874254;286.6791172659281;9.938366682297888;101.72697710990906
32.5;251;47398;3289;998;466.02586177711567;32.33805349139064;9.812519727700778;101.7068018913269
32.5;250;10405;1344;968;102.38624524043982;13.225095012316302;9.525217241013527;101.62497878074646
32.5;249;3099;1065;984;30.448705038099227;10.463978982115417;9.668127059531992;101.77772736549377
32.5;248;1367;1030;1018;13.43213678913139;10.120776073742013;10.002864119484824;101.77085161209106
32.5;247;994;971;957;9.767115330677456;9.541115680168822;9.403550675511392;101.77006888389587
32.5;246;1048;1044;1032;10.307658512586057;10.26831630452275;10.150289680332834;101.67197513580322
32.5;245;997;998;986;9.808268878990534;9.818106661216202;9.70005327450819;101.64892625808716
32.5;244;965;959;960;9.484167645124604;9.42519872712383;9.435026880123958;101.74851775169373
32.5;243;974;975;972;9.57532223881436;9.585153165137578;9.555660386167924;101.71981430053711
32.5;242;989;988;981;9.730984820878792;9.721145604679723;9.652271091286243;101.6341118812561
32.5;241;968;972;967;9.512490760750367;9.55179857381132;9.50266380748513;101.76093983650208
32.5;240;1001;1004;997;9.833377672746389;9.862848335102273;9.794083456271878;101.79615116119385
32.5;239;954;956;956;9.381766348714294;9.401434621982037;9.401434621982037;101.68660831451416
32.5;238;941;937;924;9.253974819446393;9.214638050819628;9.086793552782643;101.68603420257568
32.5;237;978;978;972;9.61845541709414;9.61845541709414;9.559446488154911;101.67952728271484
32.5;236;951;951;947;9.354459460772134;9.354459460772134;9.315113679654269;101.66274213790894
32.5;235;963;967;965;9.467301831832653;9.506626034664773;9.486963933248713;101.71852731704712
32.5;234;1020;1016;1002;10.025665876641176;9.986349539870034;9.848742361171038;101.73887825012207
32.5;233;988;988;985;9.709485048823266;9.709485048823266;9.680002806772185;101.75616884231567
32.5;232;957;957;953;9.40811851736291;9.40811851736291;9.368795137979994;101.72065734863281
32.5;231;951;950;946;9.350037535562137;9.340205740046299;9.300878557982946;101.71082162857056
32.5;230;977;975;971;9.60392207533541;9.584262050616198;9.544942001177771;101.72927188873291
32.5;229;1019;1022;1019;10.012832593876091;10.042311001905167;10.012832593876091;101.7694034576416
32.5;228;1031;1031;1025;10.147773015955053;10.147773015955053;10.088717110915546;101.59864616394043
32.5;227;989;994;989;9.719071715615604;9.76820756857625;9.719071715615604;101.75868940353394
32.5;226;972;970;965;9.562871251853474;9.543194562034847;9.494002837488276;101.64311265945435
32.5;225;956;958;958;9.406117715956055;9.425795786491529;9.425795786491529;101.63598084449768
32.5;224;1029;1030;1029;10.119069932875526;10.128903820079486;10.119069932875526;101.68918752670288
32.5;223;1006;1013;1004;9.894905790525037;9.963757023659904;9.875234009629361;101.66847681999207
